assay	experiment_ID	orf_name_a	orf_name_b	orf_name_f1	orf_name_f2	F1_CCSB_ORF_ID	F2_CCSB_ORF_ID	source_dataset	score	result_at_0_RRS
GPCA	Sv01	YML063W	YML064C	YML063W	YML064C	10	93	YeRI	9.13699111208023	False
GPCA	Sv01	YDR363W-A	YGR135W	YGR135W	YDR363W-A	4560	110	GI_PSN_PCC_gt_0.3	9.438791852578262	False
GPCA	Sv01	YDR363W-A	YHR200W	YDR363W-A	YHR200W	110	673	CYC2008	8.588714635582265	False
GPCA	Sv01	YBR252W	YLR291C	YBR252W	YLR291C	1114	1901	CCSB-YI1		
GPCA	Sv01	YLR170C	YPR029C	YLR170C	YPR029C	1118	3828	Ito-core	19.1058266837099	True
GPCA	Sv01	YFR043C	YLR170C	YLR170C	YFR043C	1118	5366	YeRI	9.172427508645484	False
GPCA	Sv01	YDR260C	YGL003C	YDR260C	YGL003C	111	1349	CYC2008	11.275542556086723	False
GPCA	Sv01	YDR260C	YHR166C	YDR260C	YHR166C	111	2715	YeRI	16.13364395305938	True
GPCA	Sv01	YJR091C	YOR186W	YJR091C	YOR186W	4355	1125	GI_PSN_PCC_gt_0.2	9.960001932068081	False
GPCA	Sv01	YBR268W	YDL202W	YDL202W	YBR268W	3021	1126	CYC2008	9.929258408636974	False
GPCA	Sv01	YBL038W	YBR268W	YBR268W	YBL038W	1126	3897	CYC2008	9.25502856981873	False
GPCA	Sv01	YBR122C	YBR268W	YBR122C	YBR268W	4960	1126	CYC2008	9.625708843064466	False
GPCA	Sv01	YLR204W	YMR269W	YMR269W	YLR204W	2766	1130	YeRI	13.924441392339197	False
GPCA	Sv01	YCR099C	YPR017C	YPR017C	YCR099C	2975	1135	YeRI	12.695663296788021	False
GPCA	Sv01	YNL056W	YNL099C	YNL099C	YNL056W	3246	1141	Ito-core	9.845490050944376	False
GPCA	Sv01	YNL056W	YNL099C	YNL099C	YNL056W	3246	1141	Uetz-screen	9.845490050944376	False
GPCA	Sv01	YOR224C	YOR341W	YOR224C	YOR341W	1149	3556	CYC2008	9.451211111832329	False
GPCA	Sv01	YDR265W	YMR026C	YDR265W	YMR026C	114	1278	GI_PSN_PCC_gt_0.3	9.507794640198696	False
GPCA	Sv01	YDR244W	YDR265W	YDR244W	YDR265W	2129	114	GI_PSN_PCC_gt_0.5	11.560810468727942	False
GPCA	Sv01	YDR265W	YKL197C	YKL197C	YDR265W	2435	114	GI_PSN_PCC_gt_0.3	9.988684686772167	False
