orf_name	screened_as_AD	screened_as_DB
YBR147W	True	True
YBR148W	True	True
YBR149W	True	True
YBR150C	True	True
YBR151W	True	True
YBR152W	True	True
YBR153W	True	True
YBR154C	True	False
YBR155W	True	False
YBR156C	True	False
YBR158W	True	True
YBR159W	True	True
YBR160W	True	False
YBR161W	True	True
YBR162C	True	False
YBR162W-A	True	True
YBR163W	True	True
YBR164C	True	True
YBR166C	True	True
YBR167C	True	False
YBR168W	True	True
YBR169C	True	False
YBR170C	True	False
YBR171W	True	False
YBR172C	True	False
YBR173C	True	False
YBR174C	True	True
YBR175W	True	False
YBR176W	True	True
YBR177C	True	True
YBR178W	True	True
YBR179C	True	True
YBR180W	True	True
YBR181C	True	True
YBR182C	True	True
YBR182C-A	True	True
YBR183W	True	True
YBR184W	True	True
YBR185C	True	True
YBR186W	True	False
YBR187W	True	True
YBR188C	True	True
YBR189W	True	True
YBR191W	True	True
YBR191W-A	True	False
YBR192W	True	True
YBR193C	True	False
YBR194W	True	True
YBR195C	True	True
YBR196C	True	True
YBR197C	True	True
YBR198C	True	False
YBR199W	True	True
YBR200W	True	True
YBR201W	True	True
YBR202W	True	False
YBR204C	True	True
YBR205W	True	True
YBR206W	True	True
YBR209W	False	True
YBR210W	True	True
YBR211C	True	False
YBR212W	True	True
YBR213W	True	True
YBR214W	True	True
YBR215W	True	True
YBR220C	True	True
YBR221C	True	True
YBR222C	True	True
YBR223C	True	True
YBR223W-A	True	True
YBR224W	True	True
YBR225W	True	True
YBR226C	True	True
YBR227C	True	True
YBR228W	True	False
YBR230C	True	True
YBR231C	True	True
YBR232C	True	False
YBR233W	True	True
YBR233W-A	True	False
YBR234C	True	True
YBR235W	True	True
YBR237W	True	True
YBR241C	True	True
YBR242W	True	True
YBR243C	True	True
YBR244W	True	True
YBR245C	True	True
YBR246W	True	False
YBR247C	True	False
YBR249C	True	True
YBR250W	True	True
YBR251W	True	True
YBR252W	True	True
YBR253W	True	False
YBR254C	True	True
YBR255C-A	True	False
YBR256C	True	False
YBR257W	True	True
YBR258C	True	True
YBR260C	True	True
YBR261C	True	True
YBR262C	True	False
YBR263W	True	True
YBR264C	True	True
YBR265W	True	True
YBR266C	True	False
YBR267W	True	True
YBR268W	True	False
YBR271W	True	False
YBR272C	True	True
YBR273C	True	False
YBR274W	True	False
YBR276C	True	True
YBR277C	True	False
YBR278W	True	True
YBR279W	True	True
YBR280C	True	True
YBR281C	True	False
YBR282W	True	False
YBR284W	True	False
YBR286W	True	True
YBR287W	True	False
YBR289W	True	False
YBR290W	True	True
YBR291C	True	True
YBR292C	True	True
