orf_name_a	gene_name_a	orf_name_b	gene_name_b	in_I3D-exp-24	in_Lit-BM-24	in_Y2H-union-08
YDR529C	QCR7	YJL166W	QCR8	True	False	False
Q0105	COB	YJL166W	QCR8	True	False	False
YJL166W	QCR8	YOR065W	CYT1	True	True	False
YBL045C	COR1	YJL166W	QCR8	True	False	False
YEL024W	RIP1	YJL166W	QCR8	True	False	False
YJL166W	QCR8	YJL166W	QCR8	True	False	False
Q0105	COB	YDR529C	QCR7	True	False	False
Q0105	COB	Q0105	COB	True	False	False
YBL045C	COR1	YDR529C	QCR7	True	True	False
Q0105	COB	YBL045C	COR1	True	False	False
YBL045C	COR1	YNL052W	COX5A	True	True	False
YBL045C	COR1	YIL111W	COX5B	True	False	False
YBL045C	COR1	YOR065W	CYT1	True	True	False
YDR529C	QCR7	YPR191W	QCR2	True	False	False
YBL045C	COR1	YPR191W	QCR2	True	True	True
YPR191W	QCR2	YPR191W	QCR2	True	False	False
YDR529C	QCR7	YHR001W-A	QCR10	True	False	False
Q0105	COB	YHR001W-A	QCR10	True	False	False
YHR001W-A	QCR10	YOR065W	CYT1	True	True	False
YBL045C	COR1	YHR001W-A	QCR10	True	False	False
YHR001W-A	QCR10	YPR191W	QCR2	True	True	False
YEL024W	RIP1	YHR001W-A	QCR10	True	False	False
YGR183C	QCR9	YHR001W-A	QCR10	True	False	False
Q0105	COB	YEL024W	RIP1	True	False	False
YEL024W	RIP1	YOR065W	CYT1	True	True	False
YBL045C	COR1	YEL024W	RIP1	True	False	False
YML054C	CYB2	YML054C	CYB2	True	False	False
YOL086C	ADH1	YOL086C	ADH1	True	True	False
YGR192C	TDH3	YGR192C	TDH3	True	False	False
Q0045	COX1	Q0250	COX2	True	False	False
Q0045	COX1	Q0275	COX3	True	False	False
Q0250	COX2	Q0275	COX3	True	False	False
Q0045	COX1	YNL052W	COX5A	True	False	False
Q0250	COX2	YNL052W	COX5A	True	False	False
Q0045	COX1	YIL111W	COX5B	True	False	False
Q0250	COX2	YIL111W	COX5B	True	False	False
Q0045	COX1	YHR051W	COX6	True	False	False
Q0250	COX2	YHR051W	COX6	True	False	False
YHR051W	COX6	YNL052W	COX5A	True	False	False
YHR051W	COX6	YIL111W	COX5B	True	False	False
Q0045	COX1	YGL187C	COX4	True	False	False
Q0250	COX2	YGL187C	COX4	True	False	False
Q0275	COX3	YGL187C	COX4	True	False	False
YGL187C	COX4	YHR051W	COX6	True	False	False
Q0045	COX1	YLR395C	COX8	True	False	False
Q0045	COX1	YDL067C	COX9	True	False	False
Q0250	COX2	YDL067C	COX9	True	False	False
YDL067C	COX9	YNL052W	COX5A	True	True	False
YDL067C	COX9	YIL111W	COX5B	True	False	False
YDL067C	COX9	YHR051W	COX6	True	False	False
Q0045	COX1	YMR256C	COX7	True	False	False
Q0275	COX3	YMR256C	COX7	True	False	False
YGL187C	COX4	YMR256C	COX7	True	False	False
YLR395C	COX8	YMR256C	COX7	True	False	False
Q0045	COX1	YGL191W	COX13	True	False	False
Q0275	COX3	YGL191W	COX13	True	False	False
YGL187C	COX4	YGL191W	COX13	True	False	False
YGL191W	COX13	YGL191W	COX13	True	True	False
Q0045	COX1	YLR038C	COX12	True	False	False
Q0250	COX2	YLR038C	COX12	True	False	False
Q0275	COX3	YLR038C	COX12	True	False	False
YGL191W	COX13	YLR038C	COX12	True	False	False
YLR038C	COX12	YNR018W	RCF2	True	False	False
Q0045	COX1	YDR119W-A	COX26	True	False	False
Q0250	COX2	YDR119W-A	COX26	True	False	False
YDR119W-A	COX26	YNL052W	COX5A	True	False	False
YDR119W-A	COX26	YIL111W	COX5B	True	False	False
YDR119W-A	COX26	YHR051W	COX6	True	False	False
YDL067C	COX9	YDR119W-A	COX26	True	False	False
Q0275	COX3	YNR018W	RCF2	True	False	False
YGL191W	COX13	YNR018W	RCF2	True	False	False
YNR018W	RCF2	YNR018W	RCF2	True	False	False
YGR183C	QCR9	YNL052W	COX5A	True	False	False
YGR183C	QCR9	YOR065W	CYT1	True	False	False
YBL045C	COR1	YGR183C	QCR9	True	False	False
YEL024W	RIP1	YGR183C	QCR9	True	False	False
YJR104C	SOD1	YJR104C	SOD1	True	False	False
YJR104C	SOD1	YMR038C	CCS1	True	True	False
YMR038C	CCS1	YMR038C	CCS1	True	True	False
YHR008C	SOD2	YHR008C	SOD2	True	True	False
YAL038W	CDC19	YAL038W	CDC19	True	False	False
YJR057W	CDC8	YJR057W	CDC8	True	False	True
YIL162W	SUC2	YIL162W	SUC2	True	False	False
YLR178C	TFS1	YMR297W	PRC1	True	False	False
YBR011C	IPP1	YBR011C	IPP1	True	True	False
YDL181W	INH1	YJR121W	ATP2	True	True	False
YBL099W	ATP1	YJR121W	ATP2	True	True	False
YBL099W	ATP1	YDL181W	INH1	True	True	False
YBL099W	ATP1	YPL078C	ATP4	True	True	False
YDR298C	ATP5	YJR121W	ATP2	True	True	False
YDR298C	ATP5	YPL078C	ATP4	True	True	False
YBL099W	ATP1	YDR298C	ATP5	True	True	False
YBR039W	ATP3	YJR121W	ATP2	True	False	False
YBR039W	ATP3	YDL181W	INH1	True	True	False
YBL099W	ATP1	YBR039W	ATP3	True	True	False
YBR039W	ATP3	YPL271W	ATP15	True	True	False
Q0085	ATP6	Q0085	ATP6	True	False	False
Q0080	ATP8	Q0085	ATP6	True	False	False
Q0085	ATP6	YPL078C	ATP4	True	False	False
Q0080	ATP8	YPL078C	ATP4	True	False	False
Q0085	ATP6	YKL016C	ATP7	True	False	False
Q0080	ATP8	YKL016C	ATP7	True	False	False
YKL016C	ATP7	YPL078C	ATP4	True	True	False
YBL099W	ATP1	YKL016C	ATP7	True	True	False
Q0085	ATP6	Q0130	OLI1	True	False	False
Q0080	ATP8	Q0130	OLI1	True	False	False
Q0130	OLI1	YKL016C	ATP7	True	False	False
Q0130	OLI1	YBR039W	ATP3	True	False	False
Q0130	OLI1	Q0130	OLI1	True	True	False
Q0085	ATP6	YML081C-A	ATP18	True	False	False
Q0080	ATP8	YML081C-A	ATP18	True	False	False
YKL016C	ATP7	YML081C-A	ATP18	True	False	False
YML081C-A	ATP18	YML081C-A	ATP18	True	False	False
Q0085	ATP6	YOL077W-A	ATP19	True	False	False
Q0085	ATP6	YDR377W	ATP17	True	False	False
Q0080	ATP8	YDR377W	ATP17	True	False	False
YDR377W	ATP17	YPL078C	ATP4	True	True	False
YDR377W	ATP17	YKL016C	ATP7	True	True	False
YNR001C	CIT1	YNR001C	CIT1	True	True	False
YGR254W	ENO1	YGR254W	ENO1	True	True	False
YDR050C	TPI1	YDR050C	TPI1	True	True	False
YKL152C	GPM1	YKL152C	GPM1	True	True	False
YGR264C	MES1	YGR264C	MES1	True	False	False
YGL105W	ARC1	YGR264C	MES1	True	True	False
YGL105W	ARC1	YGL245W	GUS1	True	True	False
YGL105W	ARC1	YGL105W	ARC1	True	False	False
YMR174C	PAI3	YPL154C	PEP4	True	True	False
YPL154C	PEP4	YPL154C	PEP4	True	False	False
YFL038C	YPT1	YKR068C	BET3	True	True	False
YEL048C	TCA17	YKR068C	BET3	True	False	False
YER136W	GDI1	YFL038C	YPT1	True	True	False
YER136W	GDI1	YFL005W	SEC4	True	True	False
YER031C	YPT31	YER136W	GDI1	True	True	False
YDR472W	TRS31	YFL038C	YPT1	True	False	False
YDR472W	TRS31	YKR068C	BET3	True	True	True
YBR254C	TRS20	YDR472W	TRS31	True	True	True
YDR108W	TRS85	YDR472W	TRS31	True	False	False
YDR472W	TRS31	YGL210W	YPT32	True	False	False
YFL038C	YPT1	YML077W	BET5	True	False	False
YKR068C	BET3	YML077W	BET5	True	True	False
YGL210W	YPT32	YML077W	BET5	True	False	False
YDR246W	TRS23	YFL038C	YPT1	True	False	False
YDR246W	TRS23	YKR068C	BET3	True	True	False
YDR246W	TRS23	YGL210W	YPT32	True	False	False
YDR246W	TRS23	YDR472W	TRS31	True	True	False
YDR246W	TRS23	YML077W	BET5	True	True	False
YBR009C	HHF1	YDR224C	HTB1	True	False	False
YDR224C	HTB1	YNL030W	HHF2	True	False	False
YBL002W	HTB2	YBR009C	HHF1	True	False	False
YBL002W	HTB2	YNL030W	HHF2	True	False	False
YDR224C	HTB1	YDR225W	HTA1	True	True	False
YBL002W	HTB2	YDR225W	HTA1	True	False	False
YBR009C	HHF1	YDR225W	HTA1	True	False	False
YDR225W	HTA1	YNL030W	HHF2	True	False	False
YDR225W	HTA1	YDR225W	HTA1	True	False	False
YBL003C	HTA2	YDR224C	HTB1	True	True	False
YBL002W	HTB2	YBL003C	HTA2	True	False	False
YBL003C	HTA2	YBR009C	HHF1	True	False	False
YBL003C	HTA2	YNL030W	HHF2	True	False	False
YBL003C	HTA2	YBL003C	HTA2	True	False	False
YDR224C	HTB1	YLR442C	SIR3	True	False	False
YBL002W	HTB2	YLR442C	SIR3	True	False	False
YBR009C	HHF1	YLR442C	SIR3	True	False	False
YLR442C	SIR3	YNL030W	HHF2	True	False	False
YBL003C	HTA2	YLR442C	SIR3	True	True	False
YLR442C	SIR3	YLR442C	SIR3	True	True	False
YDR224C	HTB1	YGL207W	SPT16	True	True	False
YDR225W	HTA1	YGL207W	SPT16	True	False	False
YDR224C	HTB1	YKL089W	MIF2	True	False	False
YBR009C	HHF1	YKL089W	MIF2	True	False	False
YKL089W	MIF2	YNL030W	HHF2	True	False	False
YDR225W	HTA1	YKL089W	MIF2	True	False	False
YKL089W	MIF2	YKL089W	MIF2	True	True	False
YDR224C	HTB1	YDR254W	CHL4	True	False	False
YDR254W	CHL4	YJR060W	CBF1	True	False	False
YDR254W	CHL4	YKL049C	CSE4	True	False	False
YBR107C	IML3	YDR254W	CHL4	True	True	False
YBR211C	AME1	YDR254W	CHL4	True	False	False
YDR224C	HTB1	YER030W	CHZ1	True	True	False
YDR224C	HTB1	YML041C	VPS71	True	False	False
YDR225W	HTA1	YML041C	VPS71	True	False	False
YDR224C	HTB1	YDR334W	SWR1	True	True	False
YDR334W	SWR1	YJL081C	ARP4	True	False	False
YDR190C	RVB1	YDR334W	SWR1	True	True	False
YDR224C	HTB1	YLL022C	HIF1	True	True	False
YDR225W	HTA1	YLL022C	HIF1	True	True	False
YBL002W	HTB2	YBL002W	HTB2	True	False	False
YBL002W	HTB2	YGL241W	KAP114	True	False	False
YBL003C	HTA2	YGL241W	KAP114	True	False	False
YER148W	SPT15	YGL241W	KAP114	True	False	False
YGL241W	KAP114	YLR293C	GSP1	True	True	False
YBL002W	HTB2	YML065W	ORC1	True	False	False
YBR009C	HHF1	YML065W	ORC1	True	False	False
YML065W	ORC1	YNL030W	HHF2	True	False	False
YBL003C	HTA2	YML065W	ORC1	True	False	False
YJL194W	CDC6	YML065W	ORC1	True	True	False
YKR101W	SIR1	YML065W	ORC1	True	True	False
YML065W	ORC1	YPR019W	MCM4	True	False	False
YBR060C	ORC2	YML065W	ORC1	True	True	False
YBR202W	MCM7	YML065W	ORC1	True	False	False
YHR118C	ORC6	YML065W	ORC1	True	False	False
YML065W	ORC1	YNL261W	ORC5	True	False	False
YML065W	ORC1	YML065W	ORC1	True	False	False
YBR009C	HHF1	YKL049C	CSE4	True	False	False
YKL049C	CSE4	YNL030W	HHF2	True	False	False
YDR225W	HTA1	YKL049C	CSE4	True	False	False
YKL049C	CSE4	YKL089W	MIF2	True	True	False
YKL049C	CSE4	YKL049C	CSE4	True	True	False
YBL025W	RRN10	YBR009C	HHF1	True	False	False
YBL025W	RRN10	YNL030W	HHF2	True	False	False
YBL025W	RRN10	YER148W	SPT15	True	False	False
YBR009C	HHF1	YEL056W	HAT2	True	False	False
YEL056W	HAT2	YNL030W	HHF2	True	False	False
YBR009C	HHF1	YMR270C	RRN9	True	False	False
YMR270C	RRN9	YNL030W	HHF2	True	False	False
YER148W	SPT15	YMR270C	RRN9	True	True	False
YBL025W	RRN10	YMR270C	RRN9	True	True	True
YBR009C	HHF1	YPL015C	HST2	True	False	False
YNL030W	HHF2	YPL015C	HST2	True	False	False
YPL015C	HST2	YPL015C	HST2	True	False	False
YBR009C	HHF1	YBR010W	HHT1	True	False	False
YBR009C	HHF1	YNL031C	HHT2	True	False	False
YBR010W	HHT1	YNL030W	HHF2	True	False	False
YNL030W	HHF2	YNL031C	HHT2	True	False	False
YBR010W	HHT1	YDR225W	HTA1	True	False	False
YDR225W	HTA1	YNL031C	HHT2	True	False	False
YBL003C	HTA2	YBR010W	HHT1	True	False	False
YBL003C	HTA2	YNL031C	HHT2	True	False	False
YBR010W	HHT1	YLR442C	SIR3	True	False	False
YLR442C	SIR3	YNL031C	HHT2	True	False	False
YBR010W	HHT1	YJL115W	ASF1	True	False	False
YJL115W	ASF1	YNL031C	HHT2	True	False	False
YBR010W	HHT1	YIL126W	STH1	True	False	False
YIL126W	STH1	YNL031C	HHT2	True	False	False
YBR010W	HHT1	YPL129W	TAF14	True	False	False
YNL031C	HHT2	YPL129W	TAF14	True	False	False
YBR010W	HHT1	YEL056W	HAT2	True	False	False
YEL056W	HAT2	YNL031C	HHT2	True	False	False
YBR010W	HHT1	YGR270W	YTA7	True	False	False
YGR270W	YTA7	YNL031C	HHT2	True	False	False
YBR010W	HHT1	YMR270C	RRN9	True	False	False
YMR270C	RRN9	YNL031C	HHT2	True	False	False
YBR010W	HHT1	YPL015C	HST2	True	False	False
YNL031C	HHT2	YPL015C	HST2	True	False	False
YBR010W	HHT1	YNL246W	VPS75	True	False	False
YNL031C	HHT2	YNL246W	VPS75	True	False	False
YBR010W	HHT1	YML065W	ORC1	True	False	False
YML065W	ORC1	YNL031C	HHT2	True	False	False
YBR010W	HHT1	YBR010W	HHT1	True	False	False
YBR010W	HHT1	YNL031C	HHT2	True	False	False
YNL031C	HHT2	YNL031C	HHT2	True	False	False
YBR009C	HHF1	YLR141W	RRN5	True	False	False
YLR141W	RRN5	YNL030W	HHF2	True	False	False
YBL025W	RRN10	YLR141W	RRN5	True	False	False
YLR141W	RRN5	YMR270C	RRN9	True	False	False
YBR010W	HHT1	YLR141W	RRN5	True	False	False
YLR141W	RRN5	YNL031C	HHT2	True	False	False
YBR009C	HHF1	YGR252W	GCN5	True	False	False
YGR252W	GCN5	YNL030W	HHF2	True	False	False
YDR448W	ADA2	YGR252W	GCN5	True	True	True
YBR009C	HHF1	YOR295W	UAF30	True	False	False
YNL030W	HHF2	YOR295W	UAF30	True	False	False
YLR141W	RRN5	YOR295W	UAF30	True	False	False
YBR009C	HHF1	YPL001W	HAT1	True	False	False
YNL030W	HHF2	YPL001W	HAT1	True	False	False
YEL056W	HAT2	YPL001W	HAT1	True	True	True
YBR010W	HHT1	YPL001W	HAT1	True	False	False
YNL031C	HHT2	YPL001W	HAT1	True	False	False
Q0140	VAR1	YPR166C	MRP2	True	False	False
Q0140	VAR1	YBR251W	MRPS5	True	False	False
YBR251W	MRPS5	YNL137C	NAM9	True	True	False
YBR251W	MRPS5	YDR036C	EHD3	True	False	False
YBR251W	MRPS5	YHL004W	MRP4	True	True	False
Q0140	VAR1	YGR215W	RSM27	True	False	False
YGR215W	RSM27	YPR166C	MRP2	True	False	False
Q0140	VAR1	YDR041W	RSM10	True	False	False
