orf_name_a	gene_name_a	orf_name_b	gene_name_b	n_publications	n_methods	n_evidence	category
Q0045	COX1	Q0085	ATP6	1	1	1	Lit-NB
Q0045	COX1	Q0105	COB	1	1	1	Lit-NB
Q0045	COX1	Q0140	VAR1	2	1	2	Lit-NB
Q0045	COX1	Q0250	COX2	4	2	4	Lit-NB
Q0045	COX1	Q0275	COX3	4	2	4	Lit-NB
Q0045	COX1	YBL045C	COR1	3	2	3	Lit-NB
Q0045	COX1	YBR255C-A	RCF3	1	1	1	Lit-NB
Q0045	COX1	YDR119W-A	COX26	1	1	1	Lit-NB
Q0045	COX1	YDR231C	COX20	1	1	1	Lit-NB
Q0045	COX1	YER154W	OXA1	1	1	1	Lit-NB
Q0045	COX1	YGL187C	COX4	3	1	3	Lit-NB
Q0045	COX1	YGL191W	COX13	1	1	1	Lit-NB
Q0045	COX1	YGR033C	TIM21	1	1	1	Lit-NB
Q0045	COX1	YGR112W	SHY1	3	2	3	Lit-NB
Q0045	COX1	YGR222W	PET54	1	1	1	Lit-NB
Q0045	COX1	YHR051W	COX6	2	1	2	Lit-NB
Q0045	COX1	YIL157C	COA1	3	2	3	Lit-NB
Q0045	COX1	YJL062W-A	COA3	4	1	4	Lit-NB
Q0045	COX1	YLR038C	COX12	1	1	1	Lit-NB
Q0045	COX1	YLR203C	MSS51	7	2	7	Lit-NB
Q0045	COX1	YLR395C	COX8	1	1	1	Lit-NB
Q0045	COX1	YML030W	RCF1	3	1	3	Lit-NB
Q0045	COX1	YML129C	COX14	4	2	4	Lit-NB
Q0045	COX1	YNR017W	TIM23	1	1	1	Lit-NB
Q0045	COX1	YNR018W	RCF2	3	1	3	Lit-NB
Q0045	COX1	YPL172C	COX10	1	1	1	Lit-NB
Q0045	COX1	YPR042C	PUF2	1	1	1	Lit-NB
Q0045	COX1	YPR191W	QCR2	1	1	1	Lit-NB
Q0050	AI1	YDL143W	CCT4	1	1	1	Lit-NB
Q0050	AI1	YDL229W	SSB1	1	1	1	Lit-NB
Q0050	AI1	YEL030W	ECM10	1	1	1	Lit-NB
Q0050	AI1	YGL122C	NAB2	1	1	1	Lit-NB
Q0050	AI1	YNL064C	YDJ1	1	1	1	Lit-NB
Q0050	AI1	YNL209W	SSB2	1	1	1	Lit-NB
Q0050	AI1	YNL227C	JJJ1	1	1	1	Lit-NB
Q0055	AI2	YDL229W	SSB1	1	1	1	Lit-NB
Q0055	AI2	YGL187C	COX4	1	1	1	Lit-NB
Q0055	AI2	YLL026W	HSP104	1	1	1	Lit-NB
Q0055	AI2	YLR320W	MMS22	1	1	1	Lit-NB
Q0060	AI3	YDL229W	SSB1	1	1	1	Lit-NB
Q0060	AI3	YGL187C	COX4	1	1	1	Lit-NB
Q0060	AI3	YLR090W	XDJ1	1	1	1	Lit-NB
Q0060	AI3	YPL106C	SSE1	1	1	1	Lit-NB
Q0065	AI4	YAL005C	SSA1	1	1	1	Lit-NB
Q0065	AI4	YGL187C	COX4	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YAL005C	SSA1	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YBL075C	SSA3	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YDL229W	SSB1	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YDR320C	SWA2	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YGL187C	COX4	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YJL179W	PFD1	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YMR186W	HSC82	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YNL064C	YDJ1	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YNL153C	GIM3	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YPL240C	HSP82	1	1	1	Lit-NB
Q0075	AI5_BETA	YGL122C	NAB2	1	1	1	Lit-NB
Q0075	AI5_BETA	YPL240C	HSP82	1	1	1	Lit-NB
Q0080	ATP8	Q0085	ATP6	2	1	2	Lit-NB
Q0080	ATP8	YBL099W	ATP1	2	2	2	Lit-NB
Q0080	ATP8	YDR377W	ATP17	1	1	1	Lit-NB
Q0080	ATP8	YJR121W	ATP2	3	2	3	Lit-NB
Q0080	ATP8	YKL016C	ATP7	2	1	2	Lit-NB
Q0080	ATP8	YLR203C	MSS51	1	1	1	Lit-NB
Q0080	ATP8	YLR393W	ATP10	1	1	1	Lit-NB
Q0080	ATP8	YNR019W	ARE2	1	1	1	Lit-BS
Q0080	ATP8	YPL078C	ATP4	3	1	3	Lit-NB
Q0080	ATP8	YPR042C	PUF2	1	1	1	Lit-NB
Q0085	ATP6	Q0130	OLI1	1	1	1	Lit-NB
Q0085	ATP6	Q0275	COX3	1	1	1	Lit-NB
Q0085	ATP6	YBL099W	ATP1	4	2	4	Lit-NB
Q0085	ATP6	YBR039W	ATP3	1	1	1	Lit-NB
Q0085	ATP6	YDL004W	ATP16	1	1	1	Lit-NB
Q0085	ATP6	YDR298C	ATP5	1	1	1	Lit-BS
Q0085	ATP6	YDR377W	ATP17	1	1	1	Lit-BS
Q0085	ATP6	YER154W	OXA1	2	1	2	Lit-NB
Q0085	ATP6	YJR121W	ATP2	6	3	6	Lit-NB
Q0085	ATP6	YKL016C	ATP7	2	2	2	Lit-BM
Q0085	ATP6	YLR203C	MSS51	1	1	1	Lit-NB
Q0085	ATP6	YLR295C	ATP14	1	1	1	Lit-NB
Q0085	ATP6	YLR393W	ATP10	2	1	2	Lit-NB
Q0085	ATP6	YML081C-A	ATP18	2	2	2	Lit-BM
Q0085	ATP6	YML129C	COX14	1	1	1	Lit-NB
Q0085	ATP6	YPL078C	ATP4	3	2	3	Lit-BM
Q0085	ATP6	YPL271W	ATP15	1	1	1	Lit-NB
Q0105	COB	Q0250	COX2	1	1	1	Lit-NB
Q0105	COB	YBL030C	PET9	1	1	1	Lit-NB
Q0105	COB	YBL045C	COR1	2	1	2	Lit-NB
Q0105	COB	YDR231C	COX20	1	1	1	Lit-NB
Q0105	COB	YDR375C	BCS1	1	1	1	Lit-NB
Q0105	COB	YDR529C	QCR7	1	1	1	Lit-NB
Q0105	COB	YEL024W	RIP1	1	1	1	Lit-NB
Q0105	COB	YER154W	OXA1	1	1	1	Lit-NB
Q0105	COB	YGL187C	COX4	1	1	1	Lit-NB
Q0105	COB	YGR112W	SHY1	1	1	1	Lit-NB
Q0105	COB	YGR174C	CBP4	1	1	1	Lit-NB
Q0105	COB	YJL166W	QCR8	1	1	1	Lit-NB
Q0105	COB	YLR203C	MSS51	2	1	2	Lit-NB
Q0105	COB	YML030W	RCF1	1	1	1	Lit-NB
Q0105	COB	YML129C	COX14	1	1	1	Lit-NB
Q0105	COB	YOR065W	CYT1	2	2	2	Lit-BM
Q0105	COB	YPL215W	CBP3	1	1	1	Lit-NB
Q0105	COB	YPR042C	PUF2	1	1	1	Lit-NB
Q0105	COB	YPR191W	QCR2	3	2	3	Lit-NB
Q0110	BI2	YDL229W	SSB1	1	1	1	Lit-NB
Q0110	BI2	YGL187C	COX4	1	1	1	Lit-NB
Q0110	BI2	YPL240C	HSP82	1	1	1	Lit-NB
Q0110	BI2	YPR042C	PUF2	1	1	1	Lit-NB
Q0115	BI3	YGL122C	NAB2	1	1	1	Lit-NB
Q0115	BI3	YGL187C	COX4	1	1	1	Lit-NB
Q0120	BI4	YGL122C	NAB2	1	1	1	Lit-NB
Q0120	BI4	YGL187C	COX4	1	1	1	Lit-NB
Q0120	BI4	YGR112W	SHY1	1	1	1	Lit-NB
Q0120	BI4	YLR382C	NAM2	3	1	3	Lit-BM
Q0130	OLI1	Q0130	OLI1	2	2	2	Lit-BM
Q0130	OLI1	YBL099W	ATP1	3	2	3	Lit-NB
Q0130	OLI1	YER154W	OXA1	1	1	1	Lit-NB
Q0130	OLI1	YHR051W	COX6	1	1	1	Lit-NB
Q0130	OLI1	YJR045C	SSC1	1	1	1	Lit-NB
Q0130	OLI1	YJR121W	ATP2	1	1	1	Lit-NB
Q0130	OLI1	YKL016C	ATP7	1	1	1	Lit-NB
Q0130	OLI1	YLR203C	MSS51	1	1	1	Lit-NB
Q0130	OLI1	YLR393W	ATP10	1	1	1	Lit-NB
Q0130	OLI1	YPL078C	ATP4	2	1	2	Lit-NB
Q0140	VAR1	YDL156W	CMR1	1	1	1	Lit-NB
Q0140	VAR1	YDR231C	COX20	1	1	1	Lit-NB
Q0140	VAR1	YER154W	OXA1	1	1	1	Lit-NB
Q0140	VAR1	YGL122C	NAB2	1	1	1	Lit-NB
Q0140	VAR1	YHL004W	MRP4	1	1	1	Lit-NB
Q0140	VAR1	YHR064C	SSZ1	1	1	1	Lit-NB
Q0140	VAR1	YJL014W	CCT3	1	1	1	Lit-NB
Q0140	VAR1	YJR045C	SSC1	2	1	2	Lit-NB
Q0140	VAR1	YKL155C	RSM22	1	1	1	Lit-NB
Q0140	VAR1	YLL024C	SSA2	1	1	1	Lit-NB
Q0140	VAR1	YLR320W	MMS22	1	1	1	Lit-NB
Q0140	VAR1	YNL155W	CUZ1	1	1	1	Lit-NB
Q0140	VAR1	YOL027C	MDM38	1	1	1	Lit-NB
Q0140	VAR1	YPR042C	PUF2	1	1	1	Lit-NB
Q0140	VAR1	YPR125W	YLH47	1	1	1	Lit-NB
Q0160	SCEI	YBL075C	SSA3	1	1	1	Lit-NB
Q0250	COX2	Q0275	COX3	1	1	1	Lit-NB
Q0250	COX2	YBL030C	PET9	3	3	4	Lit-NB
Q0250	COX2	YBL045C	COR1	5	2	5	Lit-NB
Q0250	COX2	YBR024W	SCO2	1	1	1	Lit-NB
Q0250	COX2	YBR037C	SCO1	2	2	2	Lit-NB
Q0250	COX2	YBR185C	MBA1	1	1	1	Lit-NB
Q0250	COX2	YBR255C-A	RCF3	1	1	1	Lit-NB
Q0250	COX2	YDR231C	COX20	3	1	3	Lit-NB
Q0250	COX2	YER154W	OXA1	2	2	3	Lit-BM
Q0250	COX2	YGL187C	COX4	3	1	3	Lit-NB
Q0250	COX2	YGR033C	TIM21	1	1	1	Lit-NB
Q0250	COX2	YGR062C	COX18	1	1	1	Lit-NB
Q0250	COX2	YGR112W	SHY1	2	1	2	Lit-NB
Q0250	COX2	YGR132C	PHB1	1	1	1	Lit-NB
Q0250	COX2	YHR051W	COX6	2	1	2	Lit-NB
Q0250	COX2	YIL157C	COA1	1	1	1	Lit-NB
Q0250	COX2	YJL062W-A	COA3	1	1	1	Lit-NB
Q0250	COX2	YJR097W	JJJ3	1	1	1	Lit-NB
Q0250	COX2	YJR121W	ATP2	1	1	1	Lit-NB
Q0250	COX2	YLR038C	COX12	1	1	1	Lit-NB
Q0250	COX2	YLR203C	MSS51	3	1	3	Lit-NB
Q0250	COX2	YLR395C	COX8	1	1	1	Lit-NB
Q0250	COX2	YML030W	RCF1	2	1	2	Lit-NB
Q0250	COX2	YML129C	COX14	3	2	3	Lit-NB
Q0250	COX2	YMR244C-A	COA6	1	1	1	Lit-NB
Q0250	COX2	YNL305C	BXI1	1	1	1	Lit-NB
Q0250	COX2	YNR017W	TIM23	1	1	1	Lit-NB
Q0250	COX2	YNR018W	RCF2	1	1	1	Lit-NB
Q0250	COX2	YOR065W	CYT1	1	1	1	Lit-NB
Q0250	COX2	YPR042C	PUF2	1	1	1	Lit-NB
Q0250	COX2	YPR191W	QCR2	1	1	1	Lit-NB
Q0255		YGL122C	NAB2	1	1	1	Lit-NB
Q0255		YJR045C	SSC1	1	1	1	Lit-NB
Q0275	COX3	YDR231C	COX20	1	1	1	Lit-NB
Q0275	COX3	YER154W	OXA1	2	2	3	Lit-BM
Q0275	COX3	YGL187C	COX4	1	1	1	Lit-NB
Q0275	COX3	YGL191W	COX13	1	1	1	Lit-NB
Q0275	COX3	YGR222W	PET54	1	1	1	Lit-NB
Q0275	COX3	YHR051W	COX6	1	1	1	Lit-NB
Q0275	COX3	YJL062W-A	COA3	1	1	1	Lit-NB
Q0275	COX3	YJR121W	ATP2	1	1	1	Lit-NB
Q0275	COX3	YLR038C	COX12	1	1	1	Lit-NB
Q0275	COX3	YLR203C	MSS51	2	1	2	Lit-NB
Q0275	COX3	YLR395C	COX8	1	1	1	Lit-NB
Q0275	COX3	YML030W	RCF1	3	2	3	Lit-NB
Q0275	COX3	YML129C	COX14	2	2	2	Lit-NB
Q0275	COX3	YMR256C	COX7	1	1	1	Lit-NB
Q0275	COX3	YNR018W	RCF2	1	1	1	Lit-NB
Q0275	COX3	YPR042C	PUF2	1	1	1	Lit-NB
R0020C	REP1	YDR224C	HTB1	1	1	1	Lit-NB
R0020C	REP1	YGR218W	CRM1	1	1	1	Lit-NB
R0020C	REP1	YKR008W	RSC4	1	1	1	Lit-NB
R0020C	REP1	YKR029C	SET3	1	1	1	Lit-NB
R0020C	REP1	YPL116W	HOS3	1	1	1	Lit-NB
R0030W	RAF1	YDR224C	HTB1	1	1	1	Lit-NB
R0030W	RAF1	YKR008W	RSC4	1	1	1	Lit-NB
R0030W	RAF1	YOL012C	HTZ1	1	1	1	Lit-NB
YAL001C	TFC3	YAL005C	SSA1	1	1	1	Lit-NB
YAL001C	TFC3	YBR123C	TFC1	3	1	3	Lit-NB
YAL001C	TFC3	YDL229W	SSB1	1	1	1	Lit-NB
YAL001C	TFC3	YDR171W	HSP42	1	1	1	Lit-NB
YAL001C	TFC3	YDR362C	TFC6	1	1	1	Lit-NB
YAL001C	TFC3	YGR047C	TFC4	1	1	1	Lit-NB
YAL001C	TFC3	YIL149C	MLP2	1	1	1	Lit-NB
YAL001C	TFC3	YIR010W	DSN1	1	1	1	Lit-NB
YAL001C	TFC3	YJL179W	PFD1	1	1	1	Lit-NB
YAL001C	TFC3	YKR095W	MLP1	1	1	1	Lit-NB
YAL001C	TFC3	YLL013C	PUF3	2	1	2	Lit-NB
YAL001C	TFC3	YLL024C	SSA2	1	1	1	Lit-NB
YAL001C	TFC3	YMR039C	SUB1	1	1	1	Lit-BS
YAL001C	TFC3	YNL209W	SSB2	2	2	2	Lit-NB
YAL001C	TFC3	YOR110W	TFC7	1	1	1	Lit-NB
YAL001C	TFC3	YPL106C	SSE1	1	1	1	Lit-NB
YAL001C	TFC3	YPL240C	HSP82	1	1	1	Lit-NB
YAL001C	TFC3	YPR190C	RPC82	1	1	1	Lit-NB
YAL002W	VPS8	YAL005C	SSA1	1	1	1	Lit-NB
YAL002W	VPS8	YBR169C	SSE2	1	1	1	Lit-NB
YAL002W	VPS8	YDL229W	SSB1	1	1	1	Lit-NB
YAL002W	VPS8	YDR171W	HSP42	1	1	1	Lit-NB
YAL002W	VPS8	YDR258C	HSP78	1	1	1	Lit-NB
YAL002W	VPS8	YDR495C	VPS3	2	1	2	Lit-NB
YAL002W	VPS8	YGR218W	CRM1	1	1	1	Lit-NB
YAL002W	VPS8	YJR064W	CCT5	1	1	1	Lit-NB
YAL002W	VPS8	YJR097W	JJJ3	1	1	1	Lit-NB
YAL002W	VPS8	YKL193C	SDS22	1	1	1	Lit-NB
YAL002W	VPS8	YKL203C	TOR2	1	1	1	Lit-NB
YAL002W	VPS8	YKR014C	YPT52	1	1	1	Lit-BS
YAL002W	VPS8	YLR148W	PEP3	2	2	3	Lit-BM
YAL002W	VPS8	YLR396C	VPS33	3	1	3	Lit-NB
YAL002W	VPS8	YMR186W	HSC82	1	1	1	Lit-NB
YAL002W	VPS8	YMR231W	PEP5	4	2	5	Lit-BM
YAL002W	VPS8	YNL007C	SIS1	1	1	1	Lit-NB
YAL002W	VPS8	YNL093W	YPT53	1	1	1	Lit-BS
YAL002W	VPS8	YNL209W	SSB2	1	1	1	Lit-NB
YAL002W	VPS8	YOR089C	VPS21	4	2	4	Lit-BM
YAL002W	VPS8	YPL045W	VPS16	3	1	3	Lit-NB
YAL002W	VPS8	YPL106C	SSE1	1	1	1	Lit-NB
YAL002W	VPS8	YPL240C	HSP82	1	1	1	Lit-NB
YAL003W	EFB1	YAL005C	SSA1	2	2	2	Lit-NB
YAL003W	EFB1	YBL075C	SSA3	1	1	1	Lit-NB
YAL003W	EFB1	YBR160W	CDC28	1	1	1	Lit-NB
YAL003W	EFB1	YCR077C	PAT1	1	1	1	Lit-NB
YAL003W	EFB1	YDL160C	DHH1	1	1	1	Lit-NB
YAL003W	EFB1	YDL166C	FAP7	1	1	1	Lit-BS
YAL003W	EFB1	YDL229W	SSB1	1	1	1	Lit-NB
YAL003W	EFB1	YDR135C	YCF1	1	1	1	Lit-BS
YAL003W	EFB1	YER151C	UBP3	1	1	1	Lit-NB
YAL003W	EFB1	YGL122C	NAB2	1	1	1	Lit-NB
YAL003W	EFB1	YGL137W	SEC27	1	1	1	Lit-NB
YAL003W	EFB1	YGR285C	ZUO1	1	1	1	Lit-NB
YAL003W	EFB1	YHL034C	SBP1	1	1	1	Lit-NB
YAL003W	EFB1	YHR064C	SSZ1	1	1	1	Lit-NB
YAL003W	EFB1	YJL034W	KAR2	1	1	1	Lit-NB
YAL003W	EFB1	YJL072C	PSF2	1	1	1	Lit-NB
YAL003W	EFB1	YJL124C	LSM1	1	1	1	Lit-NB
YAL003W	EFB1	YJR125C	ENT3	1	1	1	Lit-NB
YAL003W	EFB1	YKL081W	TEF4	1	2	2	Lit-BM
YAL003W	EFB1	YKL188C	PXA2	1	1	1	Lit-BS
YAL003W	EFB1	YLL013C	PUF3	1	1	1	Lit-NB
YAL003W	EFB1	YLL024C	SSA2	1	1	1	Lit-NB
YAL003W	EFB1	YLL026W	HSP104	1	1	1	Lit-NB
YAL003W	EFB1	YLR249W	YEF3	1	2	2	Lit-BM
YAL003W	EFB1	YMR186W	HSC82	1	1	1	Lit-NB
YAL003W	EFB1	YNL002C	RLP7	1	1	1	Lit-NB
YAL003W	EFB1	YNL209W	SSB2	2	2	2	Lit-NB
YAL003W	EFB1	YNL255C	GIS2	1	1	1	Lit-NB
YAL003W	EFB1	YPL106C	SSE1	1	1	1	Lit-NB
YAL003W	EFB1	YPR042C	PUF2	1	1	1	Lit-NB
YAL005C	SSA1	YAL007C	ERP2	1	1	1	Lit-NB
YAL005C	SSA1	YAL011W	SWC3	1	1	1	Lit-NB
YAL005C	SSA1	YAL012W	CYS3	2	2	2	Lit-NB
YAL005C	SSA1	YAL016W	TPD3	1	1	1	Lit-NB
YAL005C	SSA1	YAL017W	PSK1	1	1	1	Lit-NB
YAL005C	SSA1	YAL019W	FUN30	1	1	1	Lit-NB
YAL005C	SSA1	YAL020C	ATS1	1	1	1	Lit-NB
YAL005C	SSA1	YAL021C	CCR4	1	1	1	Lit-NB
YAL005C	SSA1	YAL023C	PMT2	1	1	1	Lit-NB
YAL005C	SSA1	YAL027W	SAW1	1	1	1	Lit-NB
YAL005C	SSA1	YAL028W	FRT2	1	1	1	Lit-NB
YAL005C	SSA1	YAL029C	MYO4	1	1	1	Lit-NB
YAL005C	SSA1	YAL030W	SNC1	1	1	1	Lit-NB
YAL005C	SSA1	YAL031C	GIP4	1	1	1	Lit-NB
YAL005C	SSA1	YAL034C	FUN19	1	1	1	Lit-NB
YAL005C	SSA1	YAL034W-A	MTW1	1	1	1	Lit-NB
YAL005C	SSA1	YAL035W	FUN12	2	2	2	Lit-NB
YAL005C	SSA1	YAL036C	RBG1	2	2	2	Lit-NB
YAL005C	SSA1	YAL038W	CDC19	3	3	3	Lit-NB
YAL005C	SSA1	YAL040C	CLN3	2	2	2	Lit-NB
YAL005C	SSA1	YAL041W	CDC24	1	1	1	Lit-NB
YAL005C	SSA1	YAL044C	GCV3	1	1	1	Lit-NB
YAL005C	SSA1	YAL044W-A	BOL1	1	1	1	Lit-NB
YAL005C	SSA1	YAL049C	AIM2	1	1	1	Lit-NB
YAL005C	SSA1	YAL053W	FLC2	1	1	1	Lit-NB
YAL005C	SSA1	YAL055W	PEX22	1	1	1	Lit-NB
YAL005C	SSA1	YAL060W	BDH1	1	1	1	Lit-NB
YAL005C	SSA1	YAL061W	BDH2	1	1	1	Lit-NB
YAL005C	SSA1	YAL062W	GDH3	1	1	1	Lit-NB
YAL005C	SSA1	YAL063C	FLO9	1	1	1	Lit-NB
YAL005C	SSA1	YAR002C-A	ERP1	1	1	1	Lit-NB
YAL005C	SSA1	YAR002W	NUP60	3	2	3	Lit-NB
YAL005C	SSA1	YAR007C	RFA1	1	1	1	Lit-NB
YAL005C	SSA1	YAR015W	ADE1	1	1	1	Lit-NB
YAL005C	SSA1	YAR018C	KIN3	1	1	1	Lit-NB
YAL005C	SSA1	YAR027W	UIP3	1	1	1	Lit-NB
YAL005C	SSA1	YAR031W	PRM9	1	1	1	Lit-NB
YAL005C	SSA1	YAR042W	SWH1	1	1	1	Lit-NB
YAL005C	SSA1	YAR071W	PHO11	1	1	1	Lit-NB
YAL005C	SSA1	YBL002W	HTB2	1	1	1	Lit-NB
YAL005C	SSA1	YBL003C	HTA2	1	1	1	Lit-NB
YAL005C	SSA1	YBL004W	UTP20	1	1	1	Lit-NB
YAL005C	SSA1	YBL005W	PDR3	2	2	2	Lit-NB
YAL005C	SSA1	YBL007C	SLA1	1	1	1	Lit-NB
YAL005C	SSA1	YBL008W	HIR1	1	1	1	Lit-NB
YAL005C	SSA1	YBL009W	ALK2	1	1	1	Lit-NB
YAL005C	SSA1	YBL013W	FMT1	1	1	1	Lit-NB
YAL005C	SSA1	YBL016W	FUS3	1	1	1	Lit-NB
YAL005C	SSA1	YBL017C	PEP1	1	1	1	Lit-NB
YAL005C	SSA1	YBL021C	HAP3	1	1	1	Lit-NB
YAL005C	SSA1	YBL022C	PIM1	1	1	1	Lit-NB
YAL005C	SSA1	YBL023C	MCM2	1	1	1	Lit-NB
YAL005C	SSA1	YBL024W	NCL1	1	1	1	Lit-NB
YAL005C	SSA1	YBL026W	LSM2	1	1	1	Lit-NB
YAL005C	SSA1	YBL027W	RPL19B	1	1	1	Lit-NB
YAL005C	SSA1	YBL030C	PET9	1	1	1	Lit-NB
YAL005C	SSA1	YBL033C	RIB1	1	1	1	Lit-NB
YAL005C	SSA1	YBL035C	POL12	1	1	1	Lit-NB
YAL005C	SSA1	YBL037W	APL3	1	1	1	Lit-NB
YAL005C	SSA1	YBL039C	URA7	2	2	2	Lit-NB
YAL005C	SSA1	YBL045C	COR1	1	1	1	Lit-NB
YAL005C	SSA1	YBL046W	PSY4	1	1	1	Lit-NB
YAL005C	SSA1	YBL047C	EDE1	1	1	1	Lit-NB
YAL005C	SSA1	YBL050W	SEC17	1	1	1	Lit-NB
YAL005C	SSA1	YBL051C	PIN4	1	1	1	Lit-NB
YAL005C	SSA1	YBL052C	SAS3	1	1	1	Lit-NB
YAL005C	SSA1	YBL054W	TOD6	1	1	1	Lit-NB
YAL005C	SSA1	YBL056W	PTC3	1	1	1	Lit-NB
YAL005C	SSA1	YBL057C	PTH2	1	1	1	Lit-NB
YAL005C	SSA1	YBL058W	SHP1	1	1	1	Lit-NB
YAL005C	SSA1	YBL060W	YEL1	1	1	1	Lit-NB
YAL005C	SSA1	YBL063W	KIP1	1	1	1	Lit-NB
YAL005C	SSA1	YBL067C	UBP13	2	2	2	Lit-NB
YAL005C	SSA1	YBL068W	PRS4	1	1	1	Lit-NB
YAL005C	SSA1	YBL071W-A	KTI11	1	1	1	Lit-NB
YAL005C	SSA1	YBL074C	AAR2	1	1	1	Lit-NB
YAL005C	SSA1	YBL075C	SSA3	2	2	2	Lit-NB
YAL005C	SSA1	YBL076C	ILS1	1	1	1	Lit-NB
YAL005C	SSA1	YBL079W	NUP170	1	1	1	Lit-NB
YAL005C	SSA1	YBL080C	PET112	1	1	1	Lit-NB
YAL005C	SSA1	YBL082C	ALG3	1	1	1	Lit-NB
YAL005C	SSA1	YBL085W	BOI1	1	1	1	Lit-NB
YAL005C	SSA1	YBL086C		1	1	1	Lit-NB
YAL005C	SSA1	YBL088C	TEL1	1	1	1	Lit-NB
YAL005C	SSA1	YBL091C	MAP2	1	1	1	Lit-NB
YAL005C	SSA1	YBL099W	ATP1	3	2	3	Lit-NB
YAL005C	SSA1	YBL101C	ECM21	1	1	1	Lit-NB
YAL005C	SSA1	YBL103C	RTG3	1	1	1	Lit-NB
YAL005C	SSA1	YBL104C	SEA4	1	1	1	Lit-NB
YAL005C	SSA1	YBL105C	PKC1	1	1	1	Lit-NB
YAL005C	SSA1	YBL113C		1	1	1	Lit-NB
YAL005C	SSA1	YBR001C	NTH2	1	1	1	Lit-NB
YAL005C	SSA1	YBR002C	RER2	1	1	1	Lit-NB
YAL005C	SSA1	YBR006W	UGA2	1	1	1	Lit-NB
YAL005C	SSA1	YBR011C	IPP1	1	1	1	Lit-NB
YAL005C	SSA1	YBR015C	MNN2	1	1	1	Lit-NB
YAL005C	SSA1	YBR017C	KAP104	1	1	1	Lit-NB
YAL005C	SSA1	YBR019C	GAL10	1	1	1	Lit-NB
YAL005C	SSA1	YBR020W	GAL1	1	1	1	Lit-NB
YAL005C	SSA1	YBR023C	CHS3	1	1	1	Lit-NB
YAL005C	SSA1	YBR025C	OLA1	2	2	2	Lit-NB
YAL005C	SSA1	YBR026C	ETR1	1	1	1	Lit-NB
YAL005C	SSA1	YBR028C	YPK3	1	1	1	Lit-NB
YAL005C	SSA1	YBR030W	RKM3	1	1	1	Lit-NB
YAL005C	SSA1	YBR031W	RPL4A	2	2	2	Lit-NB
YAL005C	SSA1	YBR033W	EDS1	1	1	1	Lit-NB
YAL005C	SSA1	YBR034C	HMT1	1	1	1	Lit-NB
YAL005C	SSA1	YBR039W	ATP3	1	1	1	Lit-NB
YAL005C	SSA1	YBR042C	CST26	2	2	2	Lit-NB
YAL005C	SSA1	YBR046C	ZTA1	1	1	1	Lit-NB
YAL005C	SSA1	YBR047W	FMP23	1	1	1	Lit-NB
YAL005C	SSA1	YBR049C	REB1	3	3	3	Lit-NB
YAL005C	SSA1	YBR054W	YRO2	1	1	1	Lit-NB
YAL005C	SSA1	YBR055C	PRP6	1	1	1	Lit-NB
YAL005C	SSA1	YBR056W		1	1	1	Lit-NB
YAL005C	SSA1	YBR057C	MUM2	1	1	1	Lit-NB
YAL005C	SSA1	YBR058C	UBP14	1	1	1	Lit-NB
YAL005C	SSA1	YBR059C	AKL1	1	1	1	Lit-NB
YAL005C	SSA1	YBR060C	ORC2	1	1	1	Lit-NB
YAL005C	SSA1	YBR065C	ECM2	1	1	1	Lit-NB
YAL005C	SSA1	YBR066C	NRG2	1	1	1	Lit-NB
YAL005C	SSA1	YBR067C	TIP1	1	1	1	Lit-NB
YAL005C	SSA1	YBR068C	BAP2	1	1	1	Lit-NB
YAL005C	SSA1	YBR070C	ALG14	1	1	1	Lit-NB
YAL005C	SSA1	YBR072W	HSP26	2	2	2	Lit-NB
YAL005C	SSA1	YBR073W	RDH54	1	1	1	Lit-NB
YAL005C	SSA1	YBR074W	PFF1	1	1	1	Lit-NB
YAL005C	SSA1	YBR078W	ECM33	1	1	1	Lit-NB
YAL005C	SSA1	YBR079C	RPG1	3	3	3	Lit-NB
YAL005C	SSA1	YBR081C	SPT7	2	1	2	Lit-NB
YAL005C	SSA1	YBR083W	TEC1	1	1	1	Lit-NB
YAL005C	SSA1	YBR084C-A	RPL19A	1	1	1	Lit-NB
YAL005C	SSA1	YBR084W	MIS1	1	1	1	Lit-NB
YAL005C	SSA1	YBR087W	RFC5	1	1	1	Lit-NB
YAL005C	SSA1	YBR090C		1	1	1	Lit-NB
YAL005C	SSA1	YBR095C	RXT2	2	2	2	Lit-NB
YAL005C	SSA1	YBR098W	MMS4	1	1	1	Lit-NB
YAL005C	SSA1	YBR101C	FES1	6	4	6	Lit-NB
YAL005C	SSA1	YBR103W	SIF2	2	2	2	Lit-NB
YAL005C	SSA1	YBR106W	PHO88	1	1	1	Lit-NB
YAL005C	SSA1	YBR107C	IML3	1	1	1	Lit-NB
YAL005C	SSA1	YBR108W	AIM3	1	1	1	Lit-NB
