orf_name_a	gene_name_a	orf_name_b	gene_name_b	n_evidence	category
YJL098W	SAP185	YNL006W	LST8	1	Lit-NB
YER151C	UBP3	YGR159C	NSR1	1	Lit-NB
YDR045C	RPC11	YNL255C	GIS2	1	Lit-NB
YBR119W	MUD1	YCR077C	PAT1	1	Lit-NB
YLR035C	MLH2	YOR254C	SEC63	0	Lit-NB
YDL197C	ASF2	YDR510W	SMT3	2	Lit-NB
YDR381W	YRA1	YPL106C	SSE1	0	Lit-NB
YGL043W	DST1	YJL008C	CCT8	0	Lit-NB
YDR171W	HSP42	YNL003C	PET8	0	Lit-NB
YDR388W	RVS167	YOL098C	SDD3	0	Lit-NB
YER103W	SSA4	YLR259C	HSP60	0	Lit-NB
YHR158C	KEL1	YOR254C	SEC63	0	Lit-NB
YDR322W	MRPL35	YKL167C	MRP49	0	Lit-NB
YKL068W	NUP100	YPL125W	KAP120	1	Lit-NB
YCR047C	BUD23	YMR128W	ECM16	0	Lit-NB
YDL223C	HBT1	YNL077W	APJ1	0	Lit-NB
YDR385W	EFT2	YMR186W	HSC82	0	Lit-NB
YGR244C	LSC2	YKL101W	HSL1	1	Lit-NB
YLL026W	HSP104	YOR384W	FRE5	0	Lit-NB
YDR153C	ENT5	YGR167W	CLC1	1	Lit-NB
YLL024C	SSA2	YLR085C	ARP6	0	Lit-NB
YDL215C	GDH2	YGR084C	MRP13	0	Lit-NB
YGL158W	RCK1	YOL051W	GAL11	1	Lit-NB
YDL229W	SSB1	YIL126W	STH1	0	Lit-NB
YJL138C	TIF2	YKR081C	RPF2	1	Lit-NB
YJL176C	SWI3	YLL024C	SSA2	0	Lit-NB
YLR150W	STM1	YOR312C	RPL20B	0	Lit-NB
YDL229W	SSB1	YLR093C	NYV1	1	Lit-NB
YGR154C	GTO1	YHR135C	YCK1	0	Lit-NB
YFL002C	SPB4	YMR309C	NIP1	1	Lit-NB
YGR192C	TDH3	YJL052W	TDH1	0	Lit-NB
YBR288C	APM3	YGR261C	APL6	2	Lit-NB
YLL024C	SSA2	YPL277C		0	Lit-NB
YGL173C	XRN1	YKL189W	HYM1	0	Lit-NB
YBR285W		YCR091W	KIN82	1	Lit-NB
YLR072W	LAM6	YNL307C	MCK1	1	Lit-NB
YCR031C	RPS14A	YIL069C	RPS24B	0	Lit-NB
YER082C	UTP7	YIR010W	DSN1	1	Lit-NB
YBL016W	FUS3	YGL158W	RCK1	1	Lit-NB
YKR054C	DYN1	YPL263C	KEL3	0	Lit-NB
YCL010C	SGF29	YPL047W	SGF11	4	Lit-NB
YBR109C	CMD1	YER177W	BMH1	0	Lit-NB
YER086W	ILV1	YPL235W	RVB2	0	Lit-NB
YDR212W	TCP1	YKL049C	CSE4	1	Lit-NB
YDR233C	RTN1	YKR010C	TOF2	1	Lit-NB
YGR200C	ELP2	YNL298W	CLA4	1	Lit-NB
YGL059W	PKP2	YIL107C	PFK26	1	Lit-NB
YLL024C	SSA2	YLR373C	VID22	1	Lit-NB
YDL064W	UBC9	YDR033W	MRH1	1	Lit-NB
YLR262C	YPT6	YPL031C	PHO85	1	Lit-NB
YDL145C	COP1	YNR006W	VPS27	1	Lit-NB
YDL229W	SSB1	YOR249C	APC5	0	Lit-NB
YJR145C	RPS4A	YNL255C	GIS2	1	Lit-NB
YER025W	GCD11	YHL004W	MRP4	0	Lit-NB
YDR025W	RPS11A	YHR200W	RPN10	1	Lit-NB
YDR330W	UBX5	YHR064C	SSZ1	0	Lit-NB
YKR001C	VPS1	YLR396C	VPS33	1	Lit-NB
YDL140C	RPO21	YOR110W	TFC7	1	Lit-NB
YBR010W	HHT1	YKR031C	SPO14	1	Lit-NB
YCL059C	KRR1	YLR409C	UTP21	1	Lit-NB
YCL030C	HIS4	YGR052W	FMP48	1	Lit-NB
YLR344W	RPL26A	YNR051C	BRE5	1	Lit-NB
YBR143C	SUP45	YMR012W	CLU1	0	Lit-NB
YHL034C	SBP1	YMR230W	RPS10B	0	Lit-NB
YDR381W	YRA1	YOR204W	DED1	1	Lit-NB
YDR258C	HSP78	YPL002C	SNF8	0	Lit-NB
YNL064C	YDJ1	YPR135W	CTF4	0	Lit-NB
YKR079C	TRZ1	YLL024C	SSA2	0	Lit-NB
YJR051W	OSM1	YLL026W	HSP104	0	Lit-NB
YDR101C	ARX1	YDR168W	CDC37	0	Lit-NB
YGR095C	RRP46	YNL265C	IST1	0	Lit-NB
YBL075C	SSA3	YJL005W	CYR1	0	Lit-NB
YNL209W	SSB2	YOR312C	RPL20B	0	Lit-NB
YLR403W	SFP1	YNL157W	IGO1	1	Lit-NB
YBR160W	CDC28	YJL076W	NET1	1	Lit-NB
YCL054W	SPB1	YOR080W	DIA2	0	Lit-NB
YBR017C	KAP104	YBR127C	VMA2	0	Lit-NB
YHR065C	RRP3	YMR227C	TAF7	1	Lit-NB
YML088W	UFO1	YPL231W	FAS2	2	Lit-NB
YNL007C	SIS1	YPL153C	RAD53	0	Lit-NB
YHR088W	RPF1	YKR081C	RPF2	1	Lit-NB
YHR010W	RPL27A	YOR096W	RPS7A	0	Lit-NB
YCL064C	CHA1	YDR394W	RPT3	0	Lit-NB
YML097C	VPS9	YMR186W	HSC82	0	Lit-NB
YBR152W	SPP381	YPR178W	PRP4	0	Lit-NB
YCR046C	IMG1	YCR071C	IMG2	0	Lit-NB
YBR118W	TEF2	YEL034W	HYP2	1	Lit-NB
YAL005C	SSA1	YPR072W	NOT5	0	Lit-NB
YNL075W	IMP4	YNR051C	BRE5	1	Lit-NB
YDR379W	RGA2	YNL307C	MCK1	1	Lit-NB
YBR055C	PRP6	YLR153C	ACS2	0	Lit-NB
YHL001W	RPL14B	YPL249C-A	RPL36B	0	Lit-NB
YDL153C	SAS10	YML065W	ORC1	1	Lit-NB
YDR194C	MSS116	YER165W	PAB1	1	Lit-NB
YDL014W	NOP1	YPL178W	CBC2	1	Lit-NB
YBR142W	MAK5	YPL043W	NOP4	0	Lit-NB
YDR233C	RTN1	YFL038C	YPT1	1	Lit-NB
YDL229W	SSB1	YLR018C	POM34	0	Lit-NB
YLR180W	SAM1	YPL140C	MKK2	1	Lit-NB
YDR356W	SPC110	YPL240C	HSP82	0	Lit-NB
YDL147W	RPN5	YOR269W	PAC1	1	Lit-NB
YER006W	NUG1	YGL099W	LSG1	1	Lit-NB
YGL131C	SNT2	YPL106C	SSE1	0	Lit-NB
YDL182W	LYS20	YDR174W	HMO1	0	Lit-NB
YJL147C	MRX5	YNL209W	SSB2	0	Lit-NB
YDL019C	OSH2	YGL137W	SEC27	0	Lit-NB
YAR015W	ADE1	YNL209W	SSB2	0	Lit-NB
YDR224C	HTB1	YJL173C	RFA3	1	Lit-NB
YBR162C	TOS1	YOR233W	KIN4	1	Lit-NB
YDR064W	RPS13	YFL002C	SPB4	1	Lit-NB
YAL038W	CDC19	YOR254C	SEC63	0	Lit-NB
YNL207W	RIO2	YPL081W	RPS9A	1	Lit-NB
YBR009C	HHF1	YDR211W	GCD6	1	Lit-NB
YDR117C	TMA64	YPR161C	SGV1	0	Lit-NB
YHR152W	SPO12	YIL053W	GPP1	1	Lit-NB
YLR106C	MDN1	YOR151C	RPB2	0	Lit-NB
YDL095W	PMT1	YPL226W	NEW1	0	Lit-NB
YDR233C	RTN1	YHR064C	SSZ1	0	Lit-NB
YCL037C	SRO9	YDL140C	RPO21	1	Lit-NB
YDR225W	HTA1	YMR186W	HSC82	0	Lit-NB
YDR379W	RGA2	YNL201C	PSY2	0	Lit-NB
YKL185W	ASH1	YNL330C	RPD3	4	Lit-NB
YDL185W	VMA1	YHR064C	SSZ1	0	Lit-NB
YJL008C	CCT8	YOR110W	TFC7	0	Lit-NB
YGL122C	NAB2	YJL039C	NUP192	1	Lit-NB
YBR231C	SWC5	YML041C	VPS71	1	Lit-NB
YKR081C	RPF2	YLR441C	RPS1A	1	Lit-NB
YMR193W	MRPL24	YPL173W	MRPL40	0	Lit-NB
YAL005C	SSA1	YOR341W	RPA190	0	Lit-NB
YBR010W	HHT1	YMR314W	PRE5	1	Lit-NB
YDR320C	SWA2	YKL203C	TOR2	0	Lit-NB
YJL084C	ALY2	YPR029C	APL4	1	Lit-NB
YGL112C	TAF6	YMR236W	TAF9	7	Lit-NB
YDR168W	CDC37	YGR123C	PPT1	1	Lit-NB
YMR092C	AIP1	YPL106C	SSE1	0	Lit-NB
YDR060W	MAK21	YHR197W	RIX1	1	Lit-NB
YDL101C	DUN1	YER173W	RAD24	0	Lit-NB
YJR045C	SSC1	YKL104C	GFA1	0	Lit-NB
YLR150W	STM1	YLR448W	RPL6B	0	Lit-NB
YDL182W	LYS20	YKR062W	TFA2	0	Lit-NB
YCL037C	SRO9	YHL034C	SBP1	0	Lit-NB
YEL056W	HAT2	YNL261W	ORC5	1	Lit-NB
YNL064C	YDJ1	YPL122C	TFB2	0	Lit-NB
YDL088C	ASM4	YMR308C	PSE1	1	Lit-NB
YBR135W	CKS1	YJL138C	TIF2	0	Lit-NB
YBL099W	ATP1	YNL182C	IPI3	0	Lit-NB
YJR068W	RFC2	YJR121W	ATP2	0	Lit-NB
YLR427W	MAG2	YOL055C	THI20	0	Lit-NB
YER048C	CAJ1	YPL129W	TAF14	0	Lit-NB
YLR418C	CDC73	YPL129W	TAF14	2	Lit-NB
YGL135W	RPL1B	YNL162W	RPL42A	0	Lit-NB
YDL229W	SSB1	YIL027C	EMC5	0	Lit-NB
YGR159C	NSR1	YJR059W	PTK2	1	Lit-NB
YIL095W	PRK1	YLR259C	HSP60	0	Lit-NB
YBL016W	FUS3	YDL070W	BDF2	1	Lit-NB
YIR010W	DSN1	YNL006W	LST8	1	Lit-NB
YJR052W	RAD7	YPL106C	SSE1	0	Lit-NB
YBL002W	HTB2	YDR044W	HEM13	0	Lit-NB
YFR031C-A	RPL2A	YPL249C-A	RPL36B	0	Lit-NB
YGL134W	PCL10	YNL307C	MCK1	1	Lit-NB
YDL047W	SIT4	YOR374W	ALD4	0	Lit-NB
YDR129C	SAC6	YKL126W	YPK1	0	Lit-NB
YAR019C	CDC15	YLR258W	GSY2	1	Lit-NB
YBR248C	HIS7	YDR258C	HSP78	0	Lit-NB
YIR009W	MSL1	YOR308C	SNU66	1	Lit-NB
YLR270W	DCS1	YNL209W	SSB2	0	Lit-NB
YAL005C	SSA1	YER078C	ICP55	0	Lit-NB
YBR229C	ROT2	YDL229W	SSB1	0	Lit-NB
YDL229W	SSB1	YER116C	SLX8	0	Lit-NB
YLR167W	RPS31	YML065W	ORC1	1	Lit-NB
YDL082W	RPL13A	YPL249C-A	RPL36B	0	Lit-NB
YBR017C	KAP104	YGL256W	ADH4	0	Lit-NB
YEL047C	FRD1	YMR091C	NPL6	0	Lit-NB
YDR388W	RVS167	YOR138C	RUP1	0	Lit-NB
YLR196W	PWP1	YPR191W	QCR2	0	Lit-NB
YER177W	BMH1	YFR004W	RPN11	2	Lit-NB
YER177W	BMH1	YGL100W	SEH1	0	Lit-NB
YLR381W	CTF3	YOL054W	PSH1	1	Lit-NB
YDR148C	KGD2	YFR049W	YMR31	0	Lit-NB
YDL031W	DBP10	YNL061W	NOP2	0	Lit-NB
YCR014C	POL4	YDR363W-A	SEM1	0	Lit-NB
YHR131C		YNL154C	YCK2	1	Lit-NB
YDR128W	MTC5	YJR138W	IML1	1	Lit-NB
YDL229W	SSB1	YNL288W	CAF40	0	Lit-NB
YCR057C	PWP2	YML085C	TUB1	0	Lit-NB
YDR214W	AHA1	YFL002C	SPB4	1	Lit-NB
YBR010W	HHT1	YGR130C		1	Lit-NB
YBL092W	RPL32	YDL083C	RPS16B	0	Lit-NB
YAL005C	SSA1	YKR043C	SHB17	0	Lit-NB
YNL209W	SSB2	YPR049C	ATG11	0	Lit-NB
YIL030C	SSM4	YKL209C	STE6	2	Lit-NB
YBR139W		YDR416W	SYF1	0	Lit-NB
YFR004W	RPN11	YIL075C	RPN2	8	Lit-NB
YDR163W	CWC15	YER029C	SMB1	1	Lit-NB
YJR063W	RPA12	YNL248C	RPA49	0	Lit-NB
YKL180W	RPL17A	YPL143W	RPL33A	0	Lit-NB
YAL028W	FRT2	YPL094C	SEC62	1	Lit-NB
YDL097C	RPN6	YGR232W	NAS6	2	Lit-NB
YDR382W	RPP2B	YFL002C	SPB4	1	Lit-NB
YGL120C	PRP43	YOR056C	NOB1	1	Lit-NB
YML074C	FPR3	YOR340C	RPA43	2	Lit-NB
YBR154C	RPB5	YLR071C	RGR1	1	Lit-NB
YGR287C	IMA1	YNR031C	SSK2	1	Lit-NB
YFL039C	ACT1	YMR061W	RNA14	0	Lit-NB
YLR115W	CFT2	YNL317W	PFS2	3	Lit-NB
YJL173C	RFA3	YKL152C	GPM1	0	Lit-NB
YER151C	UBP3	YGR186W	TFG1	1	Lit-NB
YGL129C	RSM23	YOL027C	MDM38	1	Lit-NB
YDL056W	MBP1	YNR009W	NRM1	3	Lit-NB
YDR303C	RSC3	YMR186W	HSC82	1	Lit-NB
YGL111W	NSA1	YLL045C	RPL8B	1	Lit-NB
YDR303C	RSC3	YLR033W	RSC58	2	Lit-NB
YDL229W	SSB1	YOR335C	ALA1	0	Lit-NB
YER133W	GLC7	YOR179C	SYC1	1	Lit-NB
YGL012W	ERG4	YLL024C	SSA2	1	Lit-NB
YDR155C	CPR1	YFL014W	HSP12	0	Lit-NB
YDR258C	HSP78	YOL033W	MSE1	0	Lit-NB
YBR109C	CMD1	YJL187C	SWE1	1	Lit-NB
YCR063W	BUD31	YKR086W	PRP16	1	Lit-NB
YBL075C	SSA3	YMR207C	HFA1	0	Lit-NB
YDR429C	TIF35	YOR039W	CKB2	0	Lit-NB
YFR004W	RPN11	YOR204W	DED1	2	Lit-NB
YKL006C-A	SFT1	YLR078C	BOS1	2	Lit-NB
YDR171W	HSP42	YMR207C	HFA1	0	Lit-NB
YGL120C	PRP43	YGR129W	SYF2	1	Lit-NB
YMR234W	RNH1	YPL106C	SSE1	0	Lit-NB
YEL039C	CYC7	YJL164C	TPK1	1	Lit-NB
YER029C	SMB1	YFL017W-A	SMX2	1	Lit-NB
YHR135C	YCK1	YOR119C	RIO1	1	Lit-NB
YPL106C	SSE1	YPL176C	TRE1	0	Lit-NB
YAL005C	SSA1	YPL253C	VIK1	0	Lit-NB
YKL073W	LHS1	YNL201C	PSY2	0	Lit-NB
YFL039C	ACT1	YKL049C	CSE4	1	Lit-NB
YIL142W	CCT2	YMR086W	SEG1	0	Lit-NB
YDL229W	SSB1	YEL018W	EAF5	0	Lit-NB
YAL005C	SSA1	YLR373C	VID22	1	Lit-NB
YDL229W	SSB1	YJL087C	TRL1	0	Lit-NB
YKR100C	SKG1	YLR096W	KIN2	1	Lit-NB
YKL101W	HSL1	YNL202W	SPS19	1	Lit-NB
YDR025W	RPS11A	YOR361C	PRT1	0	Lit-NB
YNL162W	RPL42A	YOR063W	RPL3	0	Lit-NB
YGL090W	LIF1	YNL209W	SSB2	0	Lit-NB
YHR082C	KSP1	YLR249W	YEF3	1	Lit-NB
YMR080C	NAM7	YPL106C	SSE1	0	Lit-NB
YBR282W	MRPL27	YFL002C	SPB4	1	Lit-NB
YDR166C	SEC5	YNL087W	TCB2	1	Lit-NB
YDR418W	RPL12B	YER016W	BIM1	1	Lit-NB
YBL016W	FUS3	YPL146C	NOP53	1	Lit-NB
YAL005C	SSA1	YHR041C	SRB2	0	Lit-NB
YER131W	RPS26B	YMR194W	RPL36A	0	Lit-NB
YER025W	GCD11	YGL158W	RCK1	1	Lit-NB
YDR177W	UBC1	YPR061C	JID1	0	Lit-NB
YDL213C	NOP6	YMR128W	ECM16	1	Lit-NB
YCR088W	ABP1	YNL243W	SLA2	1	Lit-NB
YGL135W	RPL1B	YGR245C	SDA1	0	Lit-NB
YDR447C	RPS17B	YOR147W	MDM32	1	Lit-NB
YDR195W	REF2	YML010W	SPT5	1	Lit-NB
YLR058C	SHM2	YMR086W	SEG1	1	Lit-NB
YBR160W	CDC28	YGR188C	BUB1	1	Lit-NB
YBL003C	HTA2	YPL009C	RQC2	1	Lit-NB
YDR477W	SNF1	YIL075C	RPN2	1	Lit-NB
YDR188W	CCT6	YOR286W	RDL2	0	Lit-NB
YKR001C	VPS1	YMR033W	ARP9	0	Lit-NB
YLR433C	CNA1	YNL064C	YDJ1	0	Lit-NB
YML064C	TEM1	YMR226C		0	Lit-NB
YER021W	RPN3	YHR025W	THR1	0	Lit-NB
YOR224C	RPB8	YPR190C	RPC82	0	Lit-NB
YHR196W	UTP9	YOL055C	THI20	0	Lit-NB
YOR308C	SNU66	YPL213W	LEA1	2	Lit-NB
YNL209W	SSB2	YOR326W	MYO2	0	Lit-NB
YLR377C	FBP1	YNL059C	ARP5	1	Lit-NB
YGR092W	DBF2	YLR303W	MET17	1	Lit-NB
YBR160W	CDC28	YKR089C	TGL4	1	Lit-NB
YDR364C	CDC40	YKL173W	SNU114	0	Lit-NB
YAL017W	PSK1	YML073C	RPL6A	1	Lit-NB
YKL212W	SAC1	YPL207W	TYW1	1	Lit-NB
YJL012C	VTC4	YPL106C	SSE1	0	Lit-NB
YLR274W	MCM5	YNL273W	TOF1	2	Lit-NB
YER151C	UBP3	YPL093W	NOG1	1	Lit-NB
YDL007W	RPT2	YDR427W	RPN9	0	Lit-NB
YDL191W	RPL35A	YHL033C	RPL8A	0	Lit-NB
YBR079C	RPG1	YLR199C	PBA1	0	Lit-NB
YLR043C	TRX1	YML028W	TSA1	1	Lit-NB
YKL007W	CAP1	YLR274W	MCM5	0	Lit-NB
YCR002C	CDC10	YNL166C	BNI5	1	Lit-NB
YFL002C	SPB4	YKL104C	GFA1	1	Lit-NB
YJR009C	TDH2	YPL106C	SSE1	0	Lit-NB
YDR062W	LCB2	YJR077C	MIR1	0	Lit-NB
YFR032C-A	RPL29	YGL014W	PUF4	0	Lit-NB
YIL101C	XBP1	YPL106C	SSE1	0	Lit-NB
YFR030W	MET10	YLR291C	GCD7	0	Lit-NB
YBR119W	MUD1	YPR182W	SMX3	1	Lit-NB
YDR439W	LRS4	YPL200W	CSM4	1	Lit-NB
YGR155W	CYS4	YJL014W	CCT3	0	Lit-NB
YGR252W	GCN5	YPR110C	RPC40	1	Lit-NB
YJR064W	CCT5	YMR236W	TAF9	1	Lit-NB
YBR119W	MUD1	YLR147C	SMD3	1	Lit-NB
YER178W	PDA1	YOL108C	INO4	0	Lit-NB
YDL229W	SSB1	YOR386W	PHR1	0	Lit-NB
YAL034W-A	MTW1	YFR046C	CNN1	1	Lit-NB
YBR009C	HHF1	YOR141C	ARP8	2	Lit-NB
YDR170C	SEC7	YNL183C	NPR1	1	Lit-NB
YDR411C	DFM1	YLR207W	HRD3	2	Lit-NB
YDR155C	CPR1	YPL146C	NOP53	0	Lit-NB
YBR114W	RAD16	YPL046C	ELC1	3	Lit-NB
YEL030W	ECM10	YPL263C	KEL3	0	Lit-NB
YLR275W	SMD2	YLR298C	YHC1	0	Lit-NB
YER133W	GLC7	YKR063C	LAS1	1	Lit-NB
YBR154C	RPB5	YER022W	SRB4	1	Lit-NB
YDR283C	GCN2	YJL190C	RPS22A	2	Lit-NB
YJR009C	TDH2	YOL013C	HRD1	0	Lit-NB
YDL156W	CMR1	YNL088W	TOP2	1	Lit-NB
YAL034W-A	MTW1	YPL018W	CTF19	3	Lit-NB
YHR064C	SSZ1	YPR112C	MRD1	0	Lit-NB
YDL055C	PSA1	YLR097C	HRT3	0	Lit-NB
YDR022C	ATG31	YNL007C	SIS1	0	Lit-NB
YDL229W	SSB1	YLR390W	ECM19	0	Lit-NB
YBR245C	ISW1	YGL133W	ITC1	0	Lit-NB
YJL190C	RPS22A	YLR441C	RPS1A	0	Lit-NB
YOL120C	RPL18A	YOL120C	RPL18A	0	Lit-NB
YCL011C	GBP2	YDR138W	HPR1	1	Lit-NB
YBR023C	CHS3	YHR064C	SSZ1	0	Lit-NB
YFL002C	SPB4	YIL053W	GPP1	1	Lit-NB
YGR090W	UTP22	YLR259C	HSP60	0	Lit-NB
YBR055C	PRP6	YGL253W	HXK2	0	Lit-NB
YBR247C	ENP1	YPL012W	RRP12	4	Lit-NB
YDR225W	HTA1	YPL226W	NEW1	1	Lit-NB
YBL023C	MCM2	YLR002C	NOC3	1	Lit-NB
YJR138W	IML1	YLR096W	KIN2	1	Lit-NB
YLR333C	RPS25B	YNL209W	SSB2	0	Lit-NB
YFL044C	OTU1	YFL044C	OTU1	1	Lit-NB
YDR432W	NPL3	YOR160W	MTR10	4	Lit-NB
YDR032C	PST2	YHR064C	SSZ1	0	Lit-NB
YIL035C	CKA1	YOL026C	MIM1	1	Lit-NB
YGR106C	VOA1	YPL106C	SSE1	0	Lit-NB
YBR281C	DUG2	YNL119W	NCS2	1	Lit-NB
YKL007W	CAP1	YML069W	POB3	0	Lit-NB
YDL229W	SSB1	YLR194C	NCW2	0	Lit-NB
YBR009C	HHF1	YGR246C	BRF1	1	Lit-NB
YDL126C	CDC48	YGL246C	RAI1	0	Lit-NB
YFR034C	PHO4	YGL048C	RPT6	1	Lit-NB
YML102W	CAC2	YNL246W	VPS75	1	Lit-NB
YDL029W	ARP2	YIL128W	MET18	0	Lit-NB
YHR052W	CIC1	YJL109C	UTP10	1	Lit-NB
YFR004W	RPN11	YKL215C	OXP1	1	Lit-NB
YDR188W	CCT6	YPL064C	CWC27	0	Lit-NB
YDL229W	SSB1	YLR206W	ENT2	0	Lit-NB
YBL024W	NCL1	YNL186W	UBP10	1	Lit-NB
YNL154C	YCK2	YPL217C	BMS1	1	Lit-NB
YFR014C	CMK1	YGL208W	SIP2	1	Lit-NB
YGL173C	XRN1	YOL149W	DCP1	0	Lit-NB
YKL001C	MET14	YNL209W	SSB2	0	Lit-NB
YGR175C	ERG1	YLL024C	SSA2	0	Lit-NB
YAL005C	SSA1	YJL167W	ERG20	0	Lit-NB
YAL005C	SSA1	YNL044W	YIP3	0	Lit-NB
YDL229W	SSB1	YPR056W	TFB4	1	Lit-NB
YDR510W	SMT3	YNL103W	MET4	1	Lit-NB
YFR004W	RPN11	YFR004W	RPN11	2	Lit-NB
YBL026W	LSM2	YOL149W	DCP1	1	Lit-NB
YBR228W	SLX1	YHR154W	RTT107	2	Lit-NB
YER021W	RPN3	YOR117W	RPT5	1	Lit-NB
YBL071W-A	KTI11	YOR096W	RPS7A	1	Lit-NB
YJL052W	TDH1	YPL106C	SSE1	0	Lit-NB
YER177W	BMH1	YNL330C	RPD3	1	Lit-NB
YDR398W	UTP5	YNL209W	SSB2	0	Lit-NB
YLR433C	CNA1	YPR061C	JID1	0	Lit-NB
YDL229W	SSB1	YMR048W	CSM3	0	Lit-NB
YER179W	DMC1	YOR136W	IDH2	0	Lit-NB
YBL072C	RPS8A	YMR229C	RRP5	0	Lit-NB
YBR034C	HMT1	YNR051C	BRE5	1	Lit-NB
YBR181C	RPS6B	YOR063W	RPL3	0	Lit-NB
YGR275W	RTT102	YMR091C	NPL6	3	Lit-NB
YBR135W	CKS1	YJL187C	SWE1	1	Lit-NB
YDR450W	RPS18A	YDR510W	SMT3	1	Lit-NB
YGL206C	CHC1	YJR125C	ENT3	2	Lit-NB
YOL066C	RIB2	YPL150W		1	Lit-NB
YER036C	ARB1	YKL049C	CSE4	1	Lit-NB
YDR450W	RPS18A	YPL106C	SSE1	0	Lit-NB
YIR004W	DJP1	YOR187W	TUF1	0	Lit-NB
YNL124W	NAF1	YNL178W	RPS3	1	Lit-NB
YGL105W	ARC1	YNL021W	HDA1	0	Lit-NB
YPL106C	SSE1	YPR100W	MRPL51	0	Lit-NB
YDR099W	BMH2	YNR047W	FPK1	0	Lit-NB
YJR059W	PTK2	YNL077W	APJ1	1	Lit-NB
YER132C	PMD1	YGR135W	PRE9	0	Lit-NB
YDR496C	PUF6	YGL030W	RPL30	0	Lit-NB
YER025W	GCD11	YMR146C	TIF34	1	Lit-NB
YCR016W		YJL128C	PBS2	1	Lit-NB
YDR091C	RLI1	YGL135W	RPL1B	0	Lit-NB
YER113C	TMN3	YKR063C	LAS1	1	Lit-NB
YGR185C	TYS1	YHR200W	RPN10	1	Lit-NB
YAL005C	SSA1	YNR021W		0	Lit-NB
YGR165W	MRPS35	YML065W	ORC1	1	Lit-NB
YAR007C	RFA1	YKL113C	RAD27	1	Lit-NB
YIL136W	OM45	YNL055C	POR1	2	Lit-NB
YBL075C	SSA3	YLL021W	SPA2	0	Lit-NB
YFR034C	PHO4	YHR121W	LSM12	1	Lit-NB
YDL190C	UFD2	YLR200W	YKE2	0	Lit-NB
YCR042C	TAF2	YDR195W	REF2	1	Lit-NB
YBL075C	SSA3	YDR044W	HEM13	0	Lit-NB
YKL104C	GFA1	YLR052W	IES3	0	Lit-NB
YBR136W	MEC1	YLR025W	SNF7	1	Lit-NB
YCR033W	SNT1	YDR432W	NPL3	1	Lit-NB
YBR160W	CDC28	YHR166C	CDC23	1	Lit-NB
YDL229W	SSB1	YNL099C	OCA1	0	Lit-NB
YKL021C	MAK11	YNL002C	RLP7	1	Lit-NB
YDL229W	SSB1	YDR100W	TVP15	0	Lit-NB
YJL010C	NOP9	YLL011W	SOF1	1	Lit-NB
YMR290C	HAS1	YOL077C	BRX1	0	Lit-NB
YBR072W	HSP26	YER030W	CHZ1	0	Lit-NB
YLR182W	SWI6	YML114C	TAF8	1	Lit-NB
YLL024C	SSA2	YOR304C-A	BIL1	0	Lit-NB
YGR178C	PBP1	YHR086W	NAM8	1	Lit-NB
YBR081C	SPT7	YMR012W	CLU1	1	Lit-NB
YLR222C	UTP13	YNL209W	SSB2	0	Lit-NB
YLR264W	RPS28B	YNL207W	RIO2	1	Lit-NB
YDR404C	RPB7	YPR180W	AOS1	0	Lit-NB
YDL145C	COP1	YKL049C	CSE4	1	Lit-NB
YDL188C	PPH22	YGL121C	GPG1	0	Lit-NB
YFL002C	SPB4	YGL123W	RPS2	1	Lit-NB
YBR114W	RAD16	YNL153C	GIM3	0	Lit-NB
YAL059W	ECM1	YMR124W	EPO1	0	Lit-NB
YOR063W	RPL3	YPL226W	NEW1	0	Lit-NB
YER023W	PRO3	YJL073W	JEM1	0	Lit-NB
YDR064W	RPS13	YKR081C	RPF2	1	Lit-NB
YOR083W	WHI5	YPL116W	HOS3	1	Lit-NB
YNR046W	TRM112	YPL037C	EGD1	1	Lit-NB
YDR335W	MSN5	YOL051W	GAL11	0	Lit-NB
YBR034C	HMT1	YEL016C	NPP2	0	Lit-NB
YMR213W	CEF1	YPL064C	CWC27	1	Lit-NB
YMR229C	RRP5	YOL139C	CDC33	0	Lit-NB
YDR124W		YPR049C	ATG11	0	Lit-NB
YLR340W	RPP0	YOL123W	HRP1	0	Lit-NB
YAL005C	SSA1	YDL139C	SCM3	0	Lit-NB
YHR200W	RPN10	YKR039W	GAP1	1	Lit-NB
YJL201W	ECM25	YNL227C	JJJ1	0	Lit-NB
YLR002C	NOC3	YOL127W	RPL25	0	Lit-NB
YDR097C	MSH6	YNL082W	PMS1	1	Lit-NB
YER151C	UBP3	YPR033C	HTS1	1	Lit-NB
YGR092W	DBF2	YNL071W	LAT1	0	Lit-NB
YJL221C	IMA4	YLR096W	KIN2	1	Lit-NB
YGR076C	MRPL25	YPR125W	YLH47	1	Lit-NB
YLR026C	SED5	YOR036W	PEP12	1	Lit-NB
YBL016W	FUS3	YLR259C	HSP60	0	Lit-NB
YBR010W	HHT1	YJL011C	RPC17	1	Lit-NB
YFL026W	STE2	YGL206C	CHC1	1	Lit-NB
YMR186W	HSC82	YPR093C	ASR1	0	Lit-NB
YCL018W	LEU2	YOR125C	CAT5	0	Lit-NB
YDR465C	RMT2	YGL172W	NUP49	1	Lit-NB
YDR041W	RSM10	YPL118W	MRP51	0	Lit-NB
YAL005C	SSA1	YIL162W	SUC2	0	Lit-NB
YBR160W	CDC28	YEL061C	CIN8	1	Lit-NB
