orf_name_a	gene_name_a	orf_name_b	gene_name_b	n_evidence	category
YDR460W	TFB3	YLR005W	SSL1	4	Lit-BM
YDL097C	RPN6	YDR427W	RPN9	4	Lit-NB
YLR314C	CDC3	YOR156C	NFI1	2	Lit-BM
YDR265W	PEX10	YGR133W	PEX4	2	Lit-BM
YGL206C	CHC1	YNL243W	SLA2	2	Lit-BM
YKL129C	MYO3	YNL271C	BNI1	2	Lit-BM
YDL153C	SAS10	YJR002W	MPP10	2	Lit-BM
YAL032C	PRP45	YER013W	PRP22	2	Lit-BM
YNL094W	APP1	YPR154W	PIN3	3	Lit-BM
YBR082C	UBC4	YER068W	MOT2	5	Lit-BM
YLR324W	PEX30	YLR324W	PEX30	1	Lit-NB
YGR113W	DAM1	YKL138C-A	HSK3	3	Lit-BM
YDR002W	YRB1	YLR293C	GSP1	17	Lit-BM
YJR090C	GRR1	YML006C	GIS4	2	Lit-BM
YKL145W	RPT1	YOR117W	RPT5	4	Lit-NB
YJL124C	LSM1	YKL173W	SNU114	1	Lit-BS
YBR171W	SEC66	YLR292C	SEC72	3	Lit-BM
YBL023C	MCM2	YLR274W	MCM5	6	Lit-BM
YDR388W	RVS167	YIL156W	UBP7	1	Lit-BS
YHR001W	OSH7	YLR332W	MID2	1	Lit-BS
YBR050C	REG2	YER133W	GLC7	4	Lit-BM
YBR234C	ARC40	YKL013C	ARC19	1	Lit-NB
YIL159W	BNR1	YKL079W	SMY1	4	Lit-BM
YDR395W	SXM1	YIL115C	NUP159	2	Lit-BM
YDR159W	SAC3	YDR363W-A	SEM1	6	Lit-BM
YDR510W	SMT3	YIL053W	GPP1	5	Lit-BM
YDR498C	SEC20	YGL145W	TIP20	9	Lit-BM
YOR127W	RGA1	YOR326W	MYO2	2	Lit-BM
YEL009C	GCN4	YOL051W	GAL11	8	Lit-BM
YDL117W	CYK3	YNL152W	INN1	9	Lit-BM
YHR067W	HTD2	YKL117W	SBA1	2	Lit-BM
YDR145W	TAF12	YGL112C	TAF6	10	Lit-BM
YER172C	BRR2	YLR310C	CDC25	2	Lit-BM
YLR309C	IMH1	YLR309C	IMH1	5	Lit-BM
YDL216C	RRI1	YJR084W		3	Lit-BM
YFL039C	ACT1	YMR092C	AIP1	5	Lit-BM
YDR510W	SMT3	YGR155W	CYS4	2	Lit-BM
YBR214W	SDS24	YFR040W	SAP155	1	Lit-BS
YLR424W	SPP382	YNL224C	SQS1	2	Lit-BM
YEL002C	WBP1	YOR103C	OST2	3	Lit-BM
YDL056W	MBP1	YLR182W	SWI6	8	Lit-BM
YFL034C-B	MOB2	YNL161W	CBK1	5	Lit-BM
YDL140C	RPO21	YOL005C	RPB11	10	Lit-BM
