orf_name_X	orf_name_Y	gene_name_X	gene_name_Y	orientation	source_dataset	S07	r02 v1	r02 v4	seq_r02_v1	seq_r02_v4	seq_S07
YMR294W	YOL015W	JNM1	IRC10	DB-X AD-Y	scRRSv2	AA	0	AA		failed	
YMR294W	YOL015W	JNM1	IRC10	DB-Y AD-X	scRRSv2	0	0	0			
YLR102C	YGL028C	APC9	SCW11	DB-X AD-Y	scRRSv2	AA	0	AA		failed	
YLR102C	YGL028C	APC9	SCW11	DB-Y AD-X	scRRSv2	0	0	0			
YER024W	YML037C	YAT2	YML037C	DB-X AD-Y	scRRSv2	0	0	0	failed		
YER024W	YML037C	YAT2	YML037C	DB-Y AD-X	scRRSv2	AA	AA	AA		failed	
YGR017W	YJL088W	YGR017W	ARG3	DB-X AD-Y	scRRSv2	0	0	0			
YGR017W	YJL088W	YGR017W	ARG3	DB-Y AD-X	scRRSv2	AA	0	AA		failed	
YFL029C	YBR182C-A	CAK1	YBR182C-A	DB-X AD-Y	scRRSv2	AA	NAN	AA		confirmed	
YFL029C	YBR182C-A	CAK1	YBR182C-A	DB-Y AD-X	scRRSv2	0	0	0			
YDL067C	YHR162W	COX9	MPC2	DB-X AD-Y	scRRSv2	AA	0	AA		failed	
YDL067C	YHR162W	COX9	MPC2	DB-Y AD-X	scRRSv2	AA	0	0			
YPL189C-A	YER130C	COA2	COM2	DB-X AD-Y	scRRSv2	0	0	0			
YPL189C-A	YER130C	COA2	COM2	DB-Y AD-X	scRRSv2	AA	AA	AA	confirmed		
YLR225C	YHR134W	YLR225C	WSS1	DB-X AD-Y	scRRSv2	0	0	0			
YLR225C	YHR134W	YLR225C	WSS1	DB-Y AD-X	scRRSv2	AA	AA	AA	failed		
YPR002W	YMR149W	PDH1	SWP1	DB-X AD-Y	scRRSv2	0	0	0			
YPR002W	YMR149W	PDH1	SWP1	DB-Y AD-X	scRRSv2	AA	AA	0	failed		
YBR260C	YKL094W	RGD1	YJU3	DB-X AD-Y	scRRSv2	0	AA	0	failed		
YBR260C	YKL094W	RGD1	YJU3	DB-Y AD-X	scRRSv2	0	0	0			
YLR154C	YMR268C	RNH203	PRP24	DB-X AD-Y	scRRSv2	0	AA	AA	confirmed		
YLR154C	YMR268C	RNH203	PRP24	DB-Y AD-X	scRRSv2	0	0	0			
YGL028C	YKL056C	SCW11	TMA19	DB-X AD-Y	scRRSv2	0	AA	0	failed		
YGL028C	YKL056C	SCW11	TMA19	DB-Y AD-X	scRRSv2	0	0	0			
YDR034W-B	YPR115W	YDR034W-B	RGC1	DB-X AD-Y	scRRSv2	0	0	0			
YDR034W-B	YPR115W	YDR034W-B	RGC1	DB-Y AD-X	scRRSv2	NAN	AA	0	failed		
YPR128C	YEL019C	ANT1	MMS21	DB-X AD-Y	scRRSv2	0	NAN	0			
YPR128C	YEL019C	ANT1	MMS21	DB-Y AD-X	scRRSv2	0	AA	0	confirmed		
YIR012W	YOR042W	SQT1	CUE5	DB-X AD-Y	scRRSv2	0	0	0			
YIR012W	YOR042W	SQT1	CUE5	DB-Y AD-X	scRRSv2	0	AA	NAN	confirmed		
YBR297W	YEL068C	MAL33	YEL068C	DB-X AD-Y	scRRSv2	AA	AA	0			
YBR297W	YEL068C	MAL33	YEL068C	DB-Y AD-X	scRRSv2	AA	AA	0			
YBR245C	YOL112W	ISW1	MSB4	DB-X AD-Y	scRRSv2		0	NAN			
YBR245C	YOL112W	ISW1	MSB4	DB-Y AD-X	scRRSv2	AA	AA	0	failed		
YHR149C	YBR227C	SKG6	MCX1	DB-X AD-Y	scRRSv2		AA	NAN	failed		
YHR149C	YBR227C	SKG6	MCX1	DB-Y AD-X	scRRSv2	0	0	0			
YJL035C	YPL054W	TAD2	LEE1	DB-X AD-Y	scRRSv2		AA	NAN	failed		
YJL035C	YPL054W	TAD2	LEE1	DB-Y AD-X	scRRSv2	0	0	0			
YHR193C	YAL049C	EGD2	AIM2	DB-X AD-Y	scRRSv2	0	0	0			
YHR193C	YAL049C	EGD2	AIM2	DB-Y AD-X	scRRSv2	0	0	0			
YML022W	YML111W	APT1	BUL2	DB-X AD-Y	scRRSv2	0	0	0			
YML022W	YML111W	APT1	BUL2	DB-Y AD-X	scRRSv2	0	0	0			
YBR167C	YAL020C	POP7	ATS1	DB-X AD-Y	scRRSv2	0	0	0			
YBR167C	YAL020C	POP7	ATS1	DB-Y AD-X	scRRSv2	0	AA	0			
YDR046C	YER087W	BAP3	AIM10	DB-X AD-Y	scRRSv2	0	0	0			
YDR046C	YER087W	BAP3	AIM10	DB-Y AD-X	scRRSv2	0	0	0			
YGR041W	YLR262C	BUD9	YPT6	DB-X AD-Y	scRRSv2	0	0	0			
YGR041W	YLR262C	BUD9	YPT6	DB-Y AD-X	scRRSv2	0	0	0			
YOL039W	YJR060W	RPP2A	CBF1	DB-X AD-Y	scRRSv2	AA	0	0			
YOL039W	YJR060W	RPP2A	CBF1	DB-Y AD-X	scRRSv2	0	0	0			
YDR179C	YHR154W	CSN9	RTT107	DB-X AD-Y	scRRSv2	0	0	0			
YDR179C	YHR154W	CSN9	RTT107	DB-Y AD-X	scRRSv2	0	0	0			
YLR380W	YOR304C-A	CSR1	BIL1	DB-X AD-Y	scRRSv2	0	0	0			
YLR380W	YOR304C-A	CSR1	BIL1	DB-Y AD-X	scRRSv2	0	AA	0			
YLR394W	YML080W	CST9	DUS1	DB-X AD-Y	scRRSv2	0	0	0			
YLR394W	YML080W	CST9	DUS1	DB-Y AD-X	scRRSv2	0	0	0			
YDR051C	YIL005W	DET1	EPS1	DB-X AD-Y	scRRSv2	0	0	0			
YDR051C	YIL005W	DET1	EPS1	DB-Y AD-X	scRRSv2	0	0	0			
YER176W	YNL175C	ECM32	NOP13	DB-X AD-Y	scRRSv2	0	0	0			
YER176W	YNL175C	ECM32	NOP13	DB-Y AD-X	scRRSv2	0	0	0			
YLR161W	YFR027W	YLR161W	ECO1	DB-X AD-Y	scRRSv2	0	0	0			
YLR161W	YFR027W	YLR161W	ECO1	DB-Y AD-X	scRRSv2	0	0	0			
YOR223W	YLL014W	DSC3	EMC6	DB-X AD-Y	scRRSv2	0	0	0			
YOR223W	YLL014W	DSC3	EMC6	DB-Y AD-X	scRRSv2	0	0	0			
YPL189C-A	YML130C	COA2	ERO1	DB-X AD-Y	scRRSv2	0	0	0			
YPL189C-A	YML130C	COA2	ERO1	DB-Y AD-X	scRRSv2	0	0	0			
YAL007C	YGR276C	ERP2	RNH70	DB-X AD-Y	scRRSv2	0	0	0			
YAL007C	YGR276C	ERP2	RNH70	DB-Y AD-X	scRRSv2	0	0	0			
YHR110W	YNL140C	ERP5	YNL140C	DB-X AD-Y	scRRSv2	0	0	0			
YHR110W	YNL140C	ERP5	YNL140C	DB-Y AD-X	scRRSv2	0	0	0			
YDR363W	YNL055C	ESC2	POR1	DB-X AD-Y	scRRSv2	0	0	0			
YDR363W	YNL055C	ESC2	POR1	DB-Y AD-X	scRRSv2	0	0	0			
YOR163W	YKR049C	DDP1	FMP46	DB-X AD-Y	scRRSv2	AA	0	0			
YOR163W	YKR049C	DDP1	FMP46	DB-Y AD-X	scRRSv2	AA	0	0			
YBR179C	YDL090C	FZO1	RAM1	DB-X AD-Y	scRRSv2	0	0	0			
YBR179C	YDL090C	FZO1	RAM1	DB-Y AD-X	scRRSv2	0	0	0			
YML122C	YDR152W	YML122C	GIR2	DB-X AD-Y	scRRSv2	0	0	0			
YML122C	YDR152W	YML122C	GIR2	DB-Y AD-X	scRRSv2	0	0	0			
YER123W	YEL011W	YCK3	GLC3	DB-X AD-Y	scRRSv2	0	0	0			
YER123W	YEL011W	YCK3	GLC3	DB-Y AD-X	scRRSv2	0	0	0			
YKR046C	YBR121C	PET10	GRS1	DB-X AD-Y	scRRSv2	0	0	0			
YKR046C	YBR121C	PET10	GRS1	DB-Y AD-X	scRRSv2	0	0	0			
YFR015C	YMR275C	GSY1	BUL1	DB-X AD-Y	scRRSv2	0	AA	0	confirmed		
YFR015C	YMR275C	GSY1	BUL1	DB-Y AD-X	scRRSv2	0	0	0			
YER052C	YGR271C-A	HOM3	EFG1	DB-X AD-Y	scRRSv2	0	0	0			
YER052C	YGR271C-A	HOM3	EFG1	DB-Y AD-X	scRRSv2	0	0	0			
YFL014W	YOR394C-A	HSP12	YOR394C-A	DB-X AD-Y	scRRSv2	0	0	0			
YFL014W	YOR394C-A	HSP12	YOR394C-A	DB-Y AD-X	scRRSv2	0	0	0			
YNL312W	YDR171W	RFA2	HSP42	DB-X AD-Y	scRRSv2	0	0	0			
YNL312W	YDR171W	RFA2	HSP42	DB-Y AD-X	scRRSv2	0	0	0			
YGR268C	YNL173C	HUA1	MDG1	DB-X AD-Y	scRRSv2	0	0	0			
YGR268C	YNL173C	HUA1	MDG1	DB-Y AD-X	scRRSv2	0	0	0			
YFL013C	YKL125W	IES1	RRN3	DB-X AD-Y	scRRSv2	0	0	0			
YFL013C	YKL125W	IES1	RRN3	DB-Y AD-X	scRRSv2	0	0	0			
YPL107W	YBR107C	YPL107W	IML3	DB-X AD-Y	scRRSv2	0	0	0			
YPL107W	YBR107C	YPL107W	IML3	DB-Y AD-X	scRRSv2	0	0	0			
YBR205W	YPR134W	KTR3	MSS18	DB-X AD-Y	scRRSv2	0	0	0			
YBR205W	YPR134W	KTR3	MSS18	DB-Y AD-X	scRRSv2	0	0	0			
YER112W	YLL028W	LSM4	TPO1	DB-X AD-Y	scRRSv2	0	0	0			
YER112W	YLL028W	LSM4	TPO1	DB-Y AD-X	scRRSv2	0	0	0			
YDR378C	YGR202C	LSM6	PCT1	DB-X AD-Y	scRRSv2	0	0	0			
YDR378C	YGR202C	LSM6	PCT1	DB-Y AD-X	scRRSv2	0	0	0			
YKL053C-A	YOL154W	MDM35	ZPS1	DB-X AD-Y	scRRSv2	0	0	0			
YKL053C-A	YOL154W	MDM35	ZPS1	DB-Y AD-X	scRRSv2	0	0	0			
YLR156C-A	YJR010W	YLR156C-A	MET3	DB-X AD-Y	scRRSv2	0	0	0			
YLR156C-A	YJR010W	YLR156C-A	MET3	DB-Y AD-X	scRRSv2	0	0	0			
YPR088C	YJL183W	SRP54	MNN11	DB-X AD-Y	scRRSv2	0	0	0			
YPR088C	YJL183W	SRP54	MNN11	DB-Y AD-X	scRRSv2	0	0	0			
YHR162W	YIL150C	MPC2	MCM10	DB-X AD-Y	scRRSv2	0	0	0			
YHR162W	YIL150C	MPC2	MCM10	DB-Y AD-X	scRRSv2	0	0	0			
YLL034C	YDR347W	RIX7	MRP1	DB-X AD-Y	scRRSv2	0	0	0			
YLL034C	YDR347W	RIX7	MRP1	DB-Y AD-X	scRRSv2	0	0	0			
YOR026W	YGR165W	BUB3	MRPS35	DB-X AD-Y	scRRSv2	0	0	0			
YOR026W	YGR165W	BUB3	MRPS35	DB-Y AD-X	scRRSv2	0	0	0			
YHR072W-A	YPL067C	NOP10	YPL067C	DB-X AD-Y	scRRSv2	0	0	0			
YHR072W-A	YPL067C	NOP10	YPL067C	DB-Y AD-X	scRRSv2	0	0	0			
YMR126C	YKL120W	DLT1	OAC1	DB-X AD-Y	scRRSv2	0	0	0			
YMR126C	YKL120W	DLT1	OAC1	DB-Y AD-X	scRRSv2	0	0	0			
YKL120W	YOL065C	OAC1	INP54	DB-X AD-Y	scRRSv2	0	0	0			
YKL120W	YOL065C	OAC1	INP54	DB-Y AD-X	scRRSv2	0	0	0			
YAL068C	YBR066C	PAU8	NRG2	DB-X AD-Y	scRRSv2	0	AA	0			
YAL068C	YBR066C	PAU8	NRG2	DB-Y AD-X	scRRSv2	0	0	0			
YPR165W	YBR221C	RHO1	PDB1	DB-X AD-Y	scRRSv2	0	0	0			
YPR165W	YBR221C	RHO1	PDB1	DB-Y AD-X	scRRSv2	0	0	0			
YOR213C	YCR044C	SAS5	PER1	DB-X AD-Y	scRRSv2	0	0	0			
YOR213C	YCR044C	SAS5	PER1	DB-Y AD-X	scRRSv2	0	0	0			
YDR281C	YGL160W	PHM6	AIM14	DB-X AD-Y	scRRSv2	0	0	0			
YDR281C	YGL160W	PHM6	AIM14	DB-Y AD-X	scRRSv2	0	0	0			
YFR050C	YHR089C	PRE4	GAR1	DB-X AD-Y	scRRSv2	0	0	0			
YFR050C	YHR089C	PRE4	GAR1	DB-Y AD-X	scRRSv2	0	0	0			
YMR157C	YIR008C	AIM36	PRI1	DB-X AD-Y	scRRSv2	0	0	0			
YMR157C	YIR008C	AIM36	PRI1	DB-Y AD-X	scRRSv2	0	0	0			
YNR061C	YJL203W	YNR061C	PRP21	DB-X AD-Y	scRRSv2	0	AA	0			
YNR061C	YJL203W	YNR061C	PRP21	DB-Y AD-X	scRRSv2	0	0	0			
YER138W-A	YBR237W	YER138W-A	PRP5	DB-X AD-Y	scRRSv2	0	0	0			
YER138W-A	YBR237W	YER138W-A	PRP5	DB-Y AD-X	scRRSv2	0	0	0			
YER120W	YBL057C	SCS2	PTH2	DB-X AD-Y	scRRSv2	0	0	0			
YER120W	YBL057C	SCS2	PTH2	DB-Y AD-X	scRRSv2	0	0	0			
YOR334W	YFR029W	MRS2	PTR3	DB-X AD-Y	scRRSv2	0	0	0			
YOR334W	YFR029W	MRS2	PTR3	DB-Y AD-X	scRRSv2	0	0	0			
YOR348C	YPR134W	PUT4	MSS18	DB-X AD-Y	scRRSv2	0	0	0			
YOR348C	YPR134W	PUT4	MSS18	DB-Y AD-X	scRRSv2	0	0	0			
YIL121W	YML034W	QDR2	SRC1	DB-X AD-Y	scRRSv2	0	0	0			
YIL121W	YML034W	QDR2	SRC1	DB-Y AD-X	scRRSv2	0	0	0			
YMR201C	YOR064C	RAD14	YNG1	DB-X AD-Y	scRRSv2	0	0	0			
YMR201C	YOR064C	RAD14	YNG1	DB-Y AD-X	scRRSv2	0	0	0			
YHR008C	YEL037C	SOD2	RAD23	DB-X AD-Y	scRRSv2	0	0	0			
YHR008C	YEL037C	SOD2	RAD23	DB-Y AD-X	scRRSv2	0	0	0			
YDR314C	YFL050C	RAD34	ALR2	DB-X AD-Y	scRRSv2	0	0	0			
YDR314C	YFL050C	RAD34	ALR2	DB-Y AD-X	scRRSv2	0	0	0			
YDR314C	YHL010C	RAD34	ETP1	DB-X AD-Y	scRRSv2	0	0	0			
YDR314C	YHL010C	RAD34	ETP1	DB-Y AD-X	scRRSv2	0	0	0			
YDR314C	YML056C	RAD34	IMD4	DB-X AD-Y	scRRSv2	0	0	0			
YDR314C	YML056C	RAD34	IMD4	DB-Y AD-X	scRRSv2	0	0	0			
YER185W	YBR087W	PUG1	RFC5	DB-X AD-Y	scRRSv2	0	0	0			
YER185W	YBR087W	PUG1	RFC5	DB-Y AD-X	scRRSv2	0	0	0			
YML122C	YGR276C	YML122C	RNH70	DB-X AD-Y	scRRSv2	0	0	0			
YML122C	YGR276C	YML122C	RNH70	DB-Y AD-X	scRRSv2	0	0	0			
YBR154C	YBR296C-A	RPB5	YBR296C-A	DB-X AD-Y	scRRSv2	0	0	0			
YBR154C	YBR296C-A	RPB5	YBR296C-A	DB-Y AD-X	scRRSv2	0	0	0			
YFL036W	YLR301W	RPO41	HRI1	DB-X AD-Y	scRRSv2	0	0	0			
YFL036W	YLR301W	RPO41	HRI1	DB-Y AD-X	scRRSv2	0	0	0			
YDR502C	YOR246C	SAM2	ENV9	DB-X AD-Y	scRRSv2	0	0	0			
YDR502C	YOR246C	SAM2	ENV9	DB-Y AD-X	scRRSv2	0	0	0			
YAL027W	YNR027W	SAW1	BUD17	DB-X AD-Y	scRRSv2	0	0	0			
YAL027W	YNR027W	SAW1	BUD17	DB-Y AD-X	scRRSv2	0	0	0			
YNR027W	YMR305C	BUD17	SCW10	DB-X AD-Y	scRRSv2	0	0	0			
YNR027W	YMR305C	BUD17	SCW10	DB-Y AD-X	scRRSv2	0	0	0			
YLR166C	YMR071C	SEC10	TVP18	DB-X AD-Y	scRRSv2	0	0	0			
YLR166C	YMR071C	SEC10	TVP18	DB-Y AD-X	scRRSv2	0	0	0			
YHR098C	YMR120C	SFB3	ADE17	DB-X AD-Y	scRRSv2	0	0	0			
YHR098C	YMR120C	SFB3	ADE17	DB-Y AD-X	scRRSv2	0	0	0			
YDR504C	YGR175C	SPG3	ERG1	DB-X AD-Y	scRRSv2	0	0	0			
YDR504C	YGR175C	SPG3	ERG1	DB-Y AD-X	scRRSv2	0	0	0			
YDR536W	YMR210W	STL1	MGL2	DB-X AD-Y	scRRSv2	0	0	0			
YDR536W	YMR210W	STL1	MGL2	DB-Y AD-X	scRRSv2	0	0	0			
YGL022W	YLR093C	STT3	NYV1	DB-X AD-Y	scRRSv2	0	0	0			
YGL022W	YLR093C	STT3	NYV1	DB-Y AD-X	scRRSv2	0	0	0			
YDR297W	YPR134W	SUR2	MSS18	DB-X AD-Y	scRRSv2	0	0	0			
YDR297W	YPR134W	SUR2	MSS18	DB-Y AD-X	scRRSv2	0	0	0			
YKL127W	YGL162W	PGM1	SUT1	DB-X AD-Y	scRRSv2	0	0	0			
YKL127W	YGL162W	PGM1	SUT1	DB-Y AD-X	scRRSv2	0	0	0			
YHR181W	YPL032C	SVP26	SVL3	DB-X AD-Y	scRRSv2	0	0	0			
YHR181W	YPL032C	SVP26	SVL3	DB-Y AD-X	scRRSv2	0	0	0			
YDL063C	YPR005C	SYO1	HAL1	DB-X AD-Y	scRRSv2	0	0	0			
YDL063C	YPR005C	SYO1	HAL1	DB-Y AD-X	scRRSv2	0	0	0			
YNL332W	YNR016C	THI12	ACC1	DB-X AD-Y	scRRSv2	0	0	0			
YNL332W	YNR016C	THI12	ACC1	DB-Y AD-X	scRRSv2	0	0	0			
YCR053W	YGR289C	THR4	MAL11	DB-X AD-Y	scRRSv2	0	0	0			
YCR053W	YGR289C	THR4	MAL11	DB-Y AD-X	scRRSv2	0	0	0			
YGL179C	YPL040C	TOS3	ISM1	DB-X AD-Y	scRRSv2	0	AA	0			
YGL179C	YPL040C	TOS3	ISM1	DB-Y AD-X	scRRSv2	0	0	0			
YGR148C	YDR407C	RPL24B	TRS120	DB-X AD-Y	scRRSv2	0	0	0			
YGR148C	YDR407C	RPL24B	TRS120	DB-Y AD-X	scRRSv2	0	0	0			
YLR080W	YDL170W	EMP46	UGA3	DB-X AD-Y	scRRSv2	0	0	0			
YLR080W	YDL170W	EMP46	UGA3	DB-Y AD-X	scRRSv2	0	0	0			
YKR044W	YMR029C	UIP5	FAR8	DB-X AD-Y	scRRSv2	0	0	0			
YKR044W	YMR029C	UIP5	FAR8	DB-Y AD-X	scRRSv2	0	0	0			
YOL047C	YKR044W	LDS2	UIP5	DB-X AD-Y	scRRSv2	0	0	0			
YOL047C	YKR044W	LDS2	UIP5	DB-Y AD-X	scRRSv2	0	0	0			
YMR286W	YFR026C	MRPL33	ULI1	DB-X AD-Y	scRRSv2	0	0	0			
YMR286W	YFR026C	MRPL33	ULI1	DB-Y AD-X	scRRSv2	0	0	0			
YGR105W	YOL133W	VMA21	HRT1	DB-X AD-Y	scRRSv2	0	0	0			
YGR105W	YOL133W	VMA21	HRT1	DB-Y AD-X	scRRSv2	0	0	0			
YOR123C	YBL029C-A	LEO1	YBL029C-A	DB-X AD-Y	scRRSv2	0	0	0			
YOR123C	YBL029C-A	LEO1	YBL029C-A	DB-Y AD-X	scRRSv2	0	0	0			
YFR025C	YDL121C	HIS2	YDL121C	DB-X AD-Y	scRRSv2	0	0	0			
YFR025C	YDL121C	HIS2	YDL121C	DB-Y AD-X	scRRSv2	0	0	0			
YJR010C-A	YDL183C	SPC1	YDL183C	DB-X AD-Y	scRRSv2	0	0	0			
YJR010C-A	YDL183C	SPC1	YDL183C	DB-Y AD-X	scRRSv2	0	0	0			
YGL067W	YDR034W-B	NPY1	YDR034W-B	DB-X AD-Y	scRRSv2	0	0	0			
YGL067W	YDR034W-B	NPY1	YDR034W-B	DB-Y AD-X	scRRSv2	0	0	0			
YLR233C	YER156C	EST1	YER156C	DB-X AD-Y	scRRSv2	0	0	0			
YLR233C	YER156C	EST1	YER156C	DB-Y AD-X	scRRSv2	0	0	0			
YIL162W	YGL176C	SUC2	YGL176C	DB-X AD-Y	scRRSv2	0	0	0			
YIL162W	YGL176C	SUC2	YGL176C	DB-Y AD-X	scRRSv2	0	0	0			
YOR187W	YGL242C	TUF1	YGL242C	DB-X AD-Y	scRRSv2	0	0	0			
YOR187W	YGL242C	TUF1	YGL242C	DB-Y AD-X	scRRSv2	0	AA	0			
YKL075C	YMR244W	YKL075C	YMR244W	DB-X AD-Y	scRRSv2	0	0	0			
YKL075C	YMR244W	YKL075C	YMR244W	DB-Y AD-X	scRRSv2	0	0	0			
YLR050C	YKR045C	YLR050C	YKR045C	DB-X AD-Y	scRRSv2	0	0	0			
YLR050C	YKR045C	YLR050C	YKR045C	DB-Y AD-X	scRRSv2	0	0	0			
YMR115W	YLL056C	MGR3	YLL056C	DB-X AD-Y	scRRSv2	0	0	0			
YMR115W	YLL056C	MGR3	YLL056C	DB-Y AD-X	scRRSv2	0	0	0			
YMR058W	YML002W	FET3	YML002W	DB-X AD-Y	scRRSv2	0	0	0			
YMR058W	YML002W	FET3	YML002W	DB-Y AD-X	scRRSv2	0	0	0			
YPR052C	YPR011C	NHP6A	YPR011C	DB-X AD-Y	scRRSv2	0	0	0			
YPR052C	YPR011C	NHP6A	YPR011C	DB-Y AD-X	scRRSv2	0	0	0			
YMR085W	YHL027W	YMR085W	RIM101	DB-X AD-Y	scRRSv2	0	0	0			
YMR085W	YHL027W	YMR085W	RIM101	DB-Y AD-X	scRRSv2	0	0	0			
YML081C-A	YIL006W	ATP18	YIA6	DB-X AD-Y	scRRSv2	0	0	0			
YML081C-A	YIL006W	ATP18	YIA6	DB-Y AD-X	scRRSv2	0	0	0			
YDL088C	YKR042W	ASM4	UTH1	DB-X AD-Y	scRRSv2	0	0	0			
YDL088C	YKR042W	ASM4	UTH1	DB-Y AD-X	scRRSv2	0	0	0			
YDL113C	YLR341W	ATG20	SPO77	DB-X AD-Y	scRRSv2	0	0	0			
YDL113C	YLR341W	ATG20	SPO77	DB-Y AD-X	scRRSv2	0	0	0			
YNL255C	YNL125C	GIS2	ESBP6	DB-X AD-Y	scRRSv2	0	0	0			
YNL255C	YNL125C	GIS2	ESBP6	DB-Y AD-X	scRRSv2	0	0	0			
YOR356W	YER063W	CIR2	THO1	DB-X AD-Y	scRRSv2	0	0	0			
YOR356W	YER063W	CIR2	THO1	DB-Y AD-X	scRRSv2	0	0	0			
YNL022C	YBL071C-B	RCM1	YBL071C-B	DB-X AD-Y	scRRSv2	0	0	0			
YNL022C	YBL071C-B	RCM1	YBL071C-B	DB-Y AD-X	scRRSv2	0	0	0			
YDR197W	YBR035C	CBS2	PDX3	DB-X AD-Y	scRRSv2	0	0	0			
YDR197W	YBR035C	CBS2	PDX3	DB-Y AD-X	scRRSv2	0	0	AA			
YLR115W	YJL048C	CFT2	UBX6	DB-X AD-Y	scRRSv2	0	0	0			
YLR115W	YJL048C	CFT2	UBX6	DB-Y AD-X	scRRSv2	0	0	0			
YDR231C	YIR021W	COX20	MRS1	DB-X AD-Y	scRRSv2	0	0	0			
YDR231C	YIR021W	COX20	MRS1	DB-Y AD-X	scRRSv2	0	0	0			
YER020W	YOR389W	GPA2	YOR389W	DB-X AD-Y	scRRSv2	0	0	0			
YER020W	YOR389W	GPA2	YOR389W	DB-Y AD-X	scRRSv2	0	0	0			
YGL003C	YDR214W	CDH1	AHA1	DB-X AD-Y	scRRSv2	0	0	0			
YGL003C	YDR214W	CDH1	AHA1	DB-Y AD-X	scRRSv2	0	0	0			
YDR188W	YCL064C	CCT6	CHA1	DB-X AD-Y	scRRSv2	0	0	0			
YDR188W	YCL064C	CCT6	CHA1	DB-Y AD-X	scRRSv2	0	0	0			
YJR048W	YOL125W	CYC1	TRM13	DB-X AD-Y	scRRSv2	0	0	0			
YJR048W	YOL125W	CYC1	TRM13	DB-Y AD-X	scRRSv2	0	0	0			
YMR189W	YJL082W	GCV2	IML2	DB-X AD-Y	scRRSv2	0	0	0			
YMR189W	YJL082W	GCV2	IML2	DB-Y AD-X	scRRSv2	0	0	0			
YAL055W	YCL027W	PEX22	FUS1	DB-X AD-Y	scRRSv2	0	AA	0			
YAL055W	YCL027W	PEX22	FUS1	DB-Y AD-X	scRRSv2	0	0	0			
YKL058W	YIL105C	TOA2	SLM1	DB-X AD-Y	scRRSv2	0	NAN	0			
YKL058W	YIL105C	TOA2	SLM1	DB-Y AD-X	scRRSv2	0	0	0		failed	
YJR003C	YBR223C	MRX12	TDP1	DB-X AD-Y	scRRSv2	AA	0	0			
YJR003C	YBR223C	MRX12	TDP1	DB-Y AD-X	scRRSv2	0	0	0			
YHR005C-A	YNL241C	TIM10	ZWF1	DB-X AD-Y	scRRSv2	AA	AA	AA			
YHR005C-A	YNL241C	TIM10	ZWF1	DB-Y AD-X	scRRSv2	0	0	0			
YDR185C	YMR024W	UPS3	MRPL3	DB-X AD-Y	scRRSv2	AA	0	0			
YDR185C	YMR024W	UPS3	MRPL3	DB-Y AD-X	scRRSv2	0	0	0			
YJR105W	YHR078W	ADO1	YHR078W	DB-X AD-Y	scRRSv2	AA	AA	0			
YJR105W	YHR078W	ADO1	YHR078W	DB-Y AD-X	scRRSv2	0	0	0			
YMR177W	YPR117W	MMT1	YPR117W	DB-X AD-Y	scRRSv2	0	0	0			
YMR177W	YPR117W	MMT1	YPR117W	DB-Y AD-X	scRRSv2	AA	0	0			
YLR125W	YNL078W	YLR125W	NIS1	DB-X AD-Y	scRRSv2	0	0	0			
YLR125W	YNL078W	YLR125W	NIS1	DB-Y AD-X	scRRSv2	AA	0	0			
YGL255W	YLR267W	ZRT1	BOP2	DB-X AD-Y	scRRSv2	0	0	0			
YGL255W	YLR267W	ZRT1	BOP2	DB-Y AD-X	scRRSv2	AA	0	0			
YMR231W	YKL016C	PEP5	ATP7	DB-X AD-Y	scRRSv2	0	0	0			
YMR231W	YKL016C	PEP5	ATP7	DB-Y AD-X	scRRSv2	0	0	0			
YOR019W	YAL033W	YOR019W	POP5	DB-X AD-Y	scRRSv2	0	0	0			
YOR019W	YAL033W	YOR019W	POP5	DB-Y AD-X	scRRSv2	0	0	0			
YJR068W	YER146W	RFC2	LSM5	DB-X AD-Y	scRRSv2	0	0	0			
YJR068W	YER146W	RFC2	LSM5	DB-Y AD-X	scRRSv2	0	0	0			
YGL149W	YLR433C	YGL149W	CNA1	DB-X AD-Y	scRRSv2	0	0	0			
YGL149W	YLR433C	YGL149W	CNA1	DB-Y AD-X	scRRSv2	0	0	0			
YIL121W	YLR025W	QDR2	SNF7	DB-X AD-Y	scRRSv2	0	0	0			
YIL121W	YLR025W	QDR2	SNF7	DB-Y AD-X	scRRSv2	NAN	AA	NAN	failed		
YJR083C	YHR180W	ACF4	YHR180W	DB-X AD-Y	scRRSv2	NAN	0	NAN			
YJR083C	YHR180W	ACF4	YHR180W	DB-Y AD-X	scRRSv2	AA	0	0			
YLR248W	YBR161W	RCK2	CSH1	DB-X AD-Y	scRRSv2		0	NAN			
YLR248W	YBR161W	RCK2	CSH1	DB-Y AD-X	scRRSv2	0	0	0			
YDR122W	YCR086W	KIN1	CSM1	DB-X AD-Y	scRRSv2		0	NAN			
YDR122W	YCR086W	KIN1	CSM1	DB-Y AD-X	scRRSv2	0	0	0			
YBR281C	YGR033C	DUG2	TIM21	DB-X AD-Y	scRRSv2		0	NAN			
YBR281C	YGR033C	DUG2	TIM21	DB-Y AD-X	scRRSv2	0	0	0			
YGR021W	YBR244W	YGR021W	GPX2	DB-X AD-Y	scRRSv2		0	NAN			
YGR021W	YBR244W	YGR021W	GPX2	DB-Y AD-X	scRRSv2	0	0	0			
YPR060C	YDR458C	ARO7	HEH2	DB-X AD-Y	scRRSv2		0	NAN			
