orf_name_X	orf_name_Y	gene_name_X	gene_name_Y	orientation	source_dataset	S07	r02 v1	r02 v4	seq_r02_v1	seq_r02_v4	seq_S07
YEL032W	YLR274W	MCM3	MCM5	DB-X AD-Y	scPRSv2	0	0	1	confirmed	confirmed	
YEL032W	YLR274W	MCM3	MCM5	DB-Y AD-X	scPRSv2	0	0	0	confirmed		
YLR197W	YOR310C	NOP56	NOP58	DB-X AD-Y	scPRSv2	0	0	0			
YLR197W	YOR310C	NOP56	NOP58	DB-Y AD-X	scPRSv2	0	0	0		confirmed	confirmed
YDR328C	YDL132W	SKP1	CDC53	DB-X AD-Y	scPRSv2	1	0	1	confirmed	confirmed	confirmed
YDR328C	YDL132W	SKP1	CDC53	DB-Y AD-X	scPRSv2	NAN	0	0			
YBR088C	YJR043C	POL30	POL32	DB-X AD-Y	scPRSv2	0	0	0		confirmed	confirmed
YBR088C	YJR043C	POL30	POL32	DB-Y AD-X	scPRSv2	NAN	1	0	confirmed		
YDR142C	YHR160C	PEX7	PEX18	DB-X AD-Y	scPRSv2	0	1	1	confirmed	confirmed	
YDR142C	YHR160C	PEX7	PEX18	DB-Y AD-X	scPRSv2	AA	AA	AA	confirmed	confirmed	
YLR347C	YLR293C	KAP95	GSP1	DB-X AD-Y	scPRSv2	0	0	1		failed	
YLR347C	YLR293C	KAP95	GSP1	DB-Y AD-X	scPRSv2	0	AA	0	failed		
YOR181W	YDR388W	LAS17	RVS167	DB-X AD-Y	scPRSv2	0	0	0			
YOR181W	YDR388W	LAS17	RVS167	DB-Y AD-X	scPRSv2	1	0	1		confirmed	confirmed
YKL022C	YGL240W	CDC16	DOC1	DB-X AD-Y	scPRSv2	0	0	0			
YKL022C	YGL240W	CDC16	DOC1	DB-Y AD-X	scPRSv2	AA	AA	0	confirmed		failed
YDR328C	YMR094W	SKP1	CTF13	DB-X AD-Y	scPRSv2	1	0	1		confirmed	confirmed
YDR328C	YMR094W	SKP1	CTF13	DB-Y AD-X	scPRSv2	0	0	0			
YIL046W	YDL132W	MET30	CDC53	DB-X AD-Y	scPRSv2	0	0	0		confirmed	
YIL046W	YDL132W	MET30	CDC53	DB-Y AD-X	scPRSv2	0	0	0		confirmed	
YDR472W	YKR068C	TRS31	BET3	DB-X AD-Y	scPRSv2	0	NAN	0			
YDR472W	YKR068C	TRS31	BET3	DB-Y AD-X	scPRSv2	0	0	0			confirmed
YDL220C	YDR082W	CDC13	STN1	DB-X AD-Y	scPRSv2	0	AA	0	confirmed	confirmed	
YDL220C	YDR082W	CDC13	STN1	DB-Y AD-X	scPRSv2	AA	AA	AA	failed	confirmed	
YDR189W	YLR026C	SLY1	SED5	DB-X AD-Y	scPRSv2	0	0	0			
YDR189W	YLR026C	SLY1	SED5	DB-Y AD-X	scPRSv2	1	0	AA		confirmed	confirmed
YOL133W	YDL132W	HRT1	CDC53	DB-X AD-Y	scPRSv2	0	0	0			
YOL133W	YDL132W	HRT1	CDC53	DB-Y AD-X	scPRSv2	0	0	0			
YFL009W	YOL133W	CDC4	HRT1	DB-X AD-Y	scPRSv2	0	0	0			
YFL009W	YOL133W	CDC4	HRT1	DB-Y AD-X	scPRSv2	0	0	0			
YDR142C	YGL153W	PEX7	PEX14	DB-X AD-Y	scPRSv2	AA	AA	0	confirmed		
YDR142C	YGL153W	PEX7	PEX14	DB-Y AD-X	scPRSv2	0	1	0	failed		
YKR068C	YML077W	BET3	BET5	DB-X AD-Y	scPRSv2	0	0	0		confirmed	
