orf_name	GenBank_accession	orf_space	in_db_space	in_ad_space
YLR014C	DQ331981	II	0	1
YLR015W	EF059123	II	1	1
YLR016C	AY557934	II	0	1
YLR017W	AY693070	II	1	1
YLR018C	AY557946	II	1	1
YLR019W	AY693081	II	0	1
YLR020C		III	0	1
YLR021W	AY558201	II	1	1
YLR022C	EF058381	II	1	1
YLR023C		II	1	1
YLR024C		III	1	0
YLR025W	AY558202	II	1	1
YLR026C	EF059432	II	1	1
YLR027C	DQ332584	II	1	1
YLR028C	DQ331512	II	1	1
YLR029C	EF058847	II	1	1
YLR030W	DQ331217	II	1	1
YLR031W	EF058452	II	1	1
YLR032W	EF058816	II	1	1
YLR033W	EF058886	II	1	1
YLR034C	DQ331628	II	1	1
YLR035C	EF058891	II	1	1
YLR036C	DQ332782	II	1	1
YLR037C	DQ332922	II	0	1
YLR038C	AY557925	II	0	1
YLR039C	EF058984	II	1	1
YLR040C	AY557938	II	1	1
YLR042C	AY558531	II	1	1
YLR043C	AY558203	II	1	1
YLR044C	EF059146	II	1	1
YLR045C	DQ332186	II	0	1
YLR046C	AY558204	II	1	1
YLR047C	DQ331077	II	1	1
YLR048W		III	1	1
YLR049C	EF058391	II	1	1
YLR050C	AY557932	II	1	1
YLR051C	EF058546	II	1	1
YLR052W	DQ332913	II	1	1
YLR053C	AY692708	II	0	1
YLR054C	EF058594	II	1	1
YLR055C		III	0	1
YLR056W	AY692996	II	1	1
YLR057W	AY692557	II	1	1
YLR058C	DQ332015	II	1	1
YLR059C	AY693005	II	1	1
YLR060W	AY692778	II	1	1
YLR061W		III	1	1
YLR063W	EF058534	II	1	1
YLR064W	AY692677	II	1	1
YLR065C	AY558207	II	1	1
YLR066W	AY558205	II	1	1
YLR067C	DQ331831	II	0	1
YLR068W	AY558206	II	1	1
YLR069C	AY692944	II	1	1
YLR070C	DQ331832	II	1	1
YLR071C	AY692942	II	1	1
YLR072W	DQ331364	II	1	1
YLR073C	AY558532	II	1	1
YLR074C	AY558208	II	1	1
YLR075W	AY693034	II	1	1
YLR077W	AY723844	II	1	1
YLR078C		III	1	1
YLR079W	DQ332298	II	1	1
YLR080W	DQ333047	II	1	1
YLR081W	DQ333056	II	1	1
YLR082C	DQ332265	II	1	1
YLR083C	DQ332429	II	1	1
YLR084C	DQ332445	II	1	1
YLR085C	DQ332481	II	1	1
YLR086W		III	0	1
YLR087C		III	0	1
YLR088W	EF059496	II	1	1
YLR089C	EF058653	II	1	1
YLR090W		III	1	1
YLR091W	AY692636	II	1	1
YLR092W	EF058843	II	1	1
YLR093C	AY692786	II	1	1
YLR094C	AY692795	II	1	1
YLR095C	DQ331567	II	1	1
YLR096W	DQ331713	II	1	1
YLR097C	DQ331297	II	1	1
YLR098C		III	1	1
YLR099C	DQ331839	II	1	1
YLR099W-A	EF058502	II	1	1
YLR100W	DQ332537	II	1	1
YLR102C	DQ332569	II	0	1
YLR103C	EF059434	II	1	1
YLR104W	DQ331224	II	1	1
YLR105C	EF058812	II	1	1
YLR106C		III	0	1
YLR107W	DQ331638	II	1	1
YLR108C	DQ331275	II	1	1
YLR109W	DQ331770	II	1	1
YLR110C	AY557929	II	1	1
YLR113W	EF059061	II	1	1
YLR114C		III	0	1
YLR115W	DQ332018	II	1	1
YLR116W	DQ332040	II	1	1
YLR117C	DQ332046	II	1	1
YLR118C	AY557939	II	1	1
YLR119W	EF059239	II	1	1
YLR120C		III	1	1
YLR121C	DQ331563	II	1	1
YLR122C		III	1	1
YLR125W	DQ331310	II	1	1
YLR126C	AY692709	II	1	1
YLR127C	DQ331866	II	1	1
YLR128W		III	1	1
YLR129W	EF059118	II	1	1
YLR130C	AY693187	II	1	1
YLR131C		III	0	1
YLR132C	DQ331188	II	1	1
YLR133W	AY692779	II	1	1
YLR134W	EF058845	II	1	1
YLR135W	AY692839	II	0	1
YLR136C	AY558210	II	1	1
YLR137W	DQ332789	II	0	1
YLR138W		III	1	1
YLR139C	AY692902	II	1	1
YLR141W	DQ331808	II	1	1
YLR142W	AY692906	II	1	1
YLR143W	DQ331354	II	1	1
YLR144C		III	0	1
YLR145W	EF058618	II	1	1
YLR146C	DQ331956	II	1	1
YLR146W-A		III	1	1
YLR147C	AY558533	II	1	1
YLR148W		III	1	1
YLR149C	EF058336	II	1	1
YLR150W	AY557944	II	1	1
YLR151C	AY557953	II	1	1
YLR152C	EF058326	II	1	1
YLR153C	DQ332095	II	1	1
YLR154C	AY558209	II	1	1
YLR154W-C	EF058736	II	1	1
YLR154C-G	EF058745	II	1	1
YLR155C	AY557957	II	1	1
YLR155C		III	1	1
YLR156C-A	EF058725	II	1	1
YLR157C	AY557958	II	1	1
YLR157W-D		III	1	1
YLR157W-E		III	1	1
YLR157C-C	DQ331398	II	1	1
YLR160C	DQ332440	II	1	1
YLR161W	EF058396	II	1	1
YLR162W		III	1	1
YLR162W-A	DQ331421	II	1	1
YLR163C	AY693198	II	1	1
YLR164W	DQ331203	II	1	1
YLR165C	AY557942	II	1	1
YLR166C	DQ332849	II	1	1
YLR167W	DQ332862	II	1	1
YLR168C	DQ331253	II	1	1
YLR170C	AY692851	II	1	1
YLR172C	AY557947	II	1	1
YLR173W	AY692703	II	1	1
YLR174W	DQ332953	II	1	1
YLR175W		III	1	1
YLR176C		III	1	1
YLR177W	DQ331369	II	1	1
YLR178C	DQ331985	II	1	1
YLR179C	DQ332726	II	1	1
YLR180W	DQ333015	II	0	1
YLR181C	DQ332115	II	0	1
YLR182W		III	0	0
YLR183C	DQ332281	II	0	1
YLR185W		III	0	1
YLR186W	AY557941	II	0	1
YLR187W	EF058416	II	0	1
YLR188W	DQ332568	II	1	1
YLR189C	EF058755	II	1	1
YLR190W	EF059484	II	1	1
YLR191W	DQ332821	II	1	1
YLR192C	AY557943	II	0	1
YLR193C	DQ331281	II	1	1
YLR194C	DQ332786	II	1	1
YLR195C	DQ331699	II	1	1
YLR196W	EF059268	II	0	1
YLR197W	EF059284	II	1	1
YLR199C		III	1	1
YLR200W		III	1	1
YLR201C	EF058385	II	1	1
YLR203C	DQ332601	II	1	1
YLR204W	AY693193	II	1	1
YLR205C	EF059463	II	0	1
YLR206W		III	0	1
YLR207W	DQ331518	II	0	1
YLR208W	DQ331660	II	1	1
YLR209C	AY557950	II	1	1
YLR210W	DQ331652	II	1	1
YLR211C		III	1	1
YLR212C	DQ331670	II	1	1
YLR213C	DQ332930	II	1	1
YLR214W	DQ331809	II	1	1
YLR215C	AY557956	II	1	1
YLR216C	AY557959	II	1	1
YLR218C	EF058613	II	1	1
YLR219W	DQ332068	II	1	1
YLR220W	AY557952	II	0	1
YLR221C	AY557937	II	1	1
YLR222C	DQ331938	II	1	1
YLR223C	DQ332057	II	0	1
YLR224W	DQ332721	II	0	1
YLR225C	DQ331045	II	1	1
YLR226W	DQ332234	II	1	1
YLR227C	EF059258	II	0	1
YLR228C	DQ332271	II	0	1
YLR229C	AY557933	II	1	1
YLR231C	DQ333108	II	1	1
YLR233C	DQ332441	II	1	1
YLR234W		II	1	1
YLR237W	EF059494	II	1	1
YLR238W	DQ332848	II	1	1
YLR239C		III	1	1
YLR240W	DQ331546	II	1	1
YLR241W	DQ332785	II	1	1
YLR242C	AY692846	II	1	1
YLR243W	DQ332790	II	1	1
YLR244C	DQ332897	II	1	1
YLR245C	AY557930	II	1	1
YLR246W	AY692913	II	1	1
YLR247C		III	0	0
YLR248W	EF059083	II	0	1
YLR249W		III	1	1
YLR250W	AY558213	II	1	1
YLR251W	AY558211	II	1	1
YLR253W	DQ332725	II	1	1
YLR254C	AY558212	II	0	1
YLR256W		III	1	1
YLR257W	AY692605	II	1	1
YLR258W	DQ332488	II	1	1
YLR259C	DQ333134	II	0	1
YLR260W		III	1	1
YLR261C		III	1	1
YLR262C	AY557936	II	1	1
YLR262C-A	DQ331311	II	1	1
YLR263W		III	0	1
YLR264W		III	0	1
YLR264C-A	DQ331413	II	1	1
YLR265C	AY557954	II	1	1
YLR266C		II	1	1
YLR267W	EF058538	II	0	1
YLR268W	AY557935	II	1	1
YLR270W	AY557955	II	1	1
YLR271W	AY557945	II	1	1
YLR272C	DQ332182	II	1	1
YLR273C	AY723846	II	1	1
YLR274W	DQ332376	II	1	1
YLR275W	DQ333100	II	1	1
YLR276C	AY723847	II	1	1
YLR277C		III	1	1
YLR278C		III	0	1
YLR281C	AY557931	II	1	1
YLR283W	AY692566	II	1	1
YLR284C	DQ333011	II	1	1
YLR285W	AY693038	II	1	1
YLR285C-A	EF058683	II	1	1
YLR286C	AY693040	II	1	1
YLR287C	AY692596	II	1	1
YLR287C-A		III	1	1
YLR288C	DQ332307	II	1	1
YLR289W	DQ332579	II	1	1
YLR290C	DQ331103	II	1	1
YLR291C	DQ333077	II	1	1
YLR292C	AY558214	II	1	1
YLR293C	AY558363	II	1	1
YLR295C	AY558215	II	1	1
YLR297W	AY558216	II	1	1
YLR298C	AY692761	II	1	1
YLR299W	DQ331583	II	1	1
YLR300W	AY693069	II	0	1
YLR301W	AY558217	II	1	1
YLR303W	AY723848	II	1	1
YLR302C		III	1	1
YLR304C	DQ332422	II	1	1
YLR305C		III	1	1
YLR306W		III	1	1
YLR307W	AY557948	II	1	1
YLR307C-A	DQ331430	II	1	1
YLR308W	AY557951	II	1	1
YLR309C	DQ332625	II	1	1
YLR310C		III	0	0
YLR312C	DQ331242	II	0	1
YLR312W-A		III	1	1
YLR313C	DQ331415	II	1	1
YLR313C		III	1	0
YLR314C	DQ331551	II	1	1
YLR315W	AY692848	II	1	1
YLR316C		III	1	1
YLR318W		III	1	1
YLR319C		III	0	1
YLR320W		III	1	1
YLR321C		III	0	1
YLR323C	EF059075	II	1	1
YLR324W	AY723849	II	1	1
YLR325C	EF059100	II	1	1
YLR326W		II	0	1
YLR327C	DQ331054	II	1	1
YLR328W		III	1	0
YLR329W	AY558220	II	1	1
YLR330W	DQ332210	II	1	1
YLR332W	DQ332464	II	1	1
YLR331C		III	0	1
YLR333C	AY693146	II	0	1
YLR335W		III	1	1
YLR336C	DQ332554	II	1	1
YLR337C	DQ332653	II	1	1
YLR340W		III	1	1
YLR341W	DQ332021	II	1	1
YLR342W	EF059142	II	1	1
YLR342W-A	EF058695	II	1	1
YLR343W		II	1	1
YLR344W	DQ332175	II	1	1
YLR345W	EF058355	II	1	1
YLR346C	AY692581	II	1	1
YLR347C	DQ332371	II	1	1
YLR348C	EF059331	II	0	1
YLR350W	AY692908	II	1	1
YLR351C	DQ331845	II	1	1
YLR352W	EF058610	II	1	1
YLR353W		III	1	1
YLR354C		III	1	1
YLR355C	EF059096	II	0	1
YLR356W	AY558222	II	1	1
YLR357W	DQ332104	II	1	1
YLR358C		III	1	1
YLR359W	EF059274	II	1	1
YLR360W	AY693083	II	1	1
YLR361C	DQ332739	II	1	1
YLR361C-A	EF058697	II	1	1
YLR362W	DQ332291	II	1	1
YLR363C	AY558223	II	1	1
YLR363W-A	EF058504	II	1	1
YLR364W	AY558221	II	1	1
YLR365W	AY558224	II	1	1
YLR367W	DQ332539	II	1	1
YLR368W	DQ333166	II	1	1
YLR369W		III	0	0
YLR370C	AY558319	II	1	1
YLR371W	EF059493	II	1	1
YLR372W	EF058757	II	1	1
YLR373C	EF058408	II	0	1
YLR375W		III	1	1
YLR376C	AY692738	II	1	1
YLR377C	AY692816	II	0	1
YLR378C	DQ332903	II	1	1
YLR380W	AY692865	II	1	1
YLR381W	DQ331744	II	1	1
YLR382C	DQ331837	II	1	1
YLR383W	EF059033	II	1	1
YLR384C		III	0	1
YLR385C	AY558226	II	1	1
YLR386W		II	1	1
YLR387C	AY692733	II	1	1
YLR388W	EF059179	II	1	1
YLR389C	DQ332138	II	1	1
YLR390W	AY558227	II	1	1
YLR390W-A		II	1	1
YLR392C	EF058347	II	1	1
YLR393W	AY558229	II	1	1
YLR394W	DQ332342	II	1	1
YLR395C	AY558228	II	1	1
YLR396C	DQ332367	II	1	1
YLR397C	AY693116	II	1	1
YLR398C	EF059398	II	1	1
YLR399C	DQ332564	II	1	1
YLR401C		III	1	1
YLR403W		III	0	1
YLR404W	DQ332736	II	1	1
YLR405W	AY558586	II	1	1
YLR406C		III	1	1
YLR406C-A	EF058700	II	1	1
YLR407W	DQ331156	II	1	1
YLR408C	AY558320	II	1	1
YLR409C	DQ331160	II	1	1
YLR410W	DQ331870	II	1	1
YLR411W	AY692929	II	1	1
YLR412W	DQ332816	II	1	1
YLR412C-A	EF058705	II	1	1
YLR413W	EF058648	II	0	1
YLR414C	AY692558	II	1	1
YLR415C	DQ331032	II	1	1
YLR417W	DQ332177	II	1	1
YLR418C	DQ332183	II	1	1
YLR419W	EF058357	II	0	1
YLR420W	DQ331694	II	0	1
YLR421C	AY558321	II	1	1
YLR422W	EF058574	II	1	1
YLR423C	DQ331829	II	1	1
YLR424W		III	1	1
YLR425W	DQ331932	II	1	1
YLR426W		III	0	1
YLR427W	AY692728	II	1	1
YLR429W	AY693023	II	1	1
YLR430W		III	1	0
YLR431C	DQ332085	II	1	1
YLR432W	EF059178	II	1	1
YLR433C	AY693079	II	1	1
YLR435W	DQ333070	II	1	1
YLR436C	DQ332306	II	1	1
YLR437C	DQ331107	II	1	1
YLR438W	EF059371	II	1	1
YLR438C-A		III	1	1
YLR439W	DQ333137	II	1	1
YLR440C	DQ331134	II	1	1
YLR441C	AY693148	II	1	1
YLR442C	AY693157	II	1	1
YLR443W	EF059477	II	1	1
YLR445W	AY558230	II	0	1
YLR446W	AY692639	II	1	1
YLR447C	DQ331535	II	1	1
YLR448W	DQ332864	II	1	1
YLR449W	DQ331584	II	1	1
YLR450W	AY692800	II	1	1
YLR451W	EF058870	II	0	1
YLR452C	EF058920	II	1	1
YLR453C	AY692860	II	0	1
YLR454W	EF058549	II	1	1
YLR455W	DQ331331	II	1	1
YLR456W	AY558231	II	1	1
YLR457C		III	1	1
YLR459W		III	0	0
YLR460C		III	1	1
YLR461W		III	0	0
YLR462W	DQ331057	II	1	1
YLR466W		III	0	0
YML133C		III	0	0
YML132W	DQ332355	II	1	1
YML131W	AY557992	II	1	1
YML130C	AY693050	II	1	1
YML129C	EF059205	II	1	1
YML128C	AY693046	II	1	1
YML127W	EF059199	II	1	1
YML126C		III	1	1
YML125C	EF058636	II	1	1
YML124C		III	1	1
YML123C		III	1	1
YML122C	AY558538	II	1	1
YML121W	AY692917	II	1	1
YML120C	AY723851	II	1	1
YML119W	EF058580	II	0	1
YML118W	DQ331742	II	1	1
YML117W	EF058544	II	1	1
YML116W	AY723850	II	1	1
YML115C	DQ331557	II	1	1
YML114C	DQ331536	II	0	1
YML113W	AY557765	II	1	1
YML112W	AY557764	II	1	1
YML111W	DQ332634	II	1	1
YML110C	AY693194	II	1	1
YML109W	DQ332660	II	1	1
YML108W	EF058439	II	1	1
YML107C	DQ332755	II	1	1
YML106W	AY693160	II	1	1
YML105C	AY693145	II	1	1
YML104C	DQ332434	II	1	1
YML103C	EF059287	II	0	1
YML102W	DQ333062	II	1	1
YML101C		III	1	1
YML100W-A	AY692741	II	1	1
YML100W		III	1	1
YML099C	EF058894	II	0	1
YML098W	AY557763	II	1	1
YML097C	DQ331502	II	1	1
YML096W		II	1	1
YML095C	DQ331482	II	1	1
YML094W		III	1	1
YML093W	EF059449	II	1	1
YML092C	AY557762	II	1	1
YML091C	EF059316	II	0	1
YML088W		III	1	1
YML087C	DQ331123	II	1	1
YML086C	AY693120	II	1	1
YML085C		III	1	1
YML083C	AY692582	II	1	1
YML082W	EF058356	II	1	1
YML081C-A	AY558537	II	1	1
YML081W	DQ331040	II	0	1
YML080W	DQ332039	II	1	1
YML079W	EF058655	II	1	1
YML078W	AY557761	II	1	1
YML077W	AY557760	II	1	1
YML076C		III	1	1
YML075C	DQ332473	II	1	1
YML074C	AY693136	II	1	1
YML073C		III	1	1
YML072C	EF058369	II	0	1
YML071C	DQ332262	II	1	1
YML070W	DQ332254	II	1	1
YML069W	EF058883	II	1	1
YML068W	DQ331601	II	1	1
YML067C	DQ331468	II	1	1
YML066C	AY557993	II	0	1
YML065W	EF058790	II	1	1
YML064C	AY557980	II	1	1
YML063W	AY557981	II	1	1
YML062C	DQ332553	II	1	1
YML061C	DQ332517	II	1	1
YML060W	DQ332506	II	1	1
YML059C		III	0	0
YML058W-A	AY557960	II	1	1
YML058W	AY557961	II	0	1
YML057W	DQ332316	II	1	1
YML056C	DQ332155	II	1	1
YML055W	AY557966	II	1	1
YML054C	DQ332128	II	1	1
YML054C-A	EF058734	II	1	1
YML053C	AY557974	II	1	1
YML052W	AY557986	II	1	1
YML051W	DQ331970	II	1	1
YML050W	AY557988	II	1	1
YML049C		III	0	1
YML048W	AY692925	II	1	1
YML047C	AY692915	II	1	1
YML046W	AY692912	II	0	1
YML043C	AY692808	II	1	1
YML042W	DQ331571	II	1	1
YML041C	EF058849	II	1	1
YML038C	AY692787	II	1	1
YML037C	AY557990	II	0	1
YML036W	AY558233	II	1	1
YML035C	DQ332635	II	1	1
YML034W	DQ332628	II	1	1
YML032C	AY693144	II	1	1
YML031W	DQ332453	II	1	1
YML030W	AY558234	II	1	1
YML029W	DQ332469	II	1	1
YML028W	DQ333118	II	1	1
YML027W	AY693100	II	1	1
YML026C		III	1	1
YML025C	DQ332263	II	1	1
YML024W		III	1	1
YML023C	EF058334	II	0	1
YML022W	AY558232	II	1	1
YML021C	AY693020	II	1	1
YML020W	AY692729	II	1	1
YML019W	AY692974	II	1	1
YML018C	AY692723	II	1	1
YML017W		III	1	1
YML016C	DQ331850	II	0	1
YML015C	AY692911	II	1	1
YML014W	DQ332945	II	1	1
YML013W		III	1	1
YML012W	DQ331711	II	1	1
YML011C	EF058533	II	0	1
YML010W	EF058907	II	1	1
YML009C	EF059219	II	1	1
YML008C	DQ332167	II	1	1
YML007C-A	EF058505	II	1	1
YML007W	EF059207	II	0	1
YML006C	EF059135	II	1	1
YML005W	DQ331027	II	1	1
YML004C	DQ332997	II	1	1
YML003W	EF058641	II	1	1
YML002W	AY692715	II	1	1
YML001W	EF059044	II	1	1
YMR001C	DQ332363	II	1	1
YMR001C-A	DQ331409	II	1	1
YMR002W	AY557766	II	1	1
YMR003W	DQ331162	II	1	1
YMR004W	DQ332573	II	1	1
YMR005W	EF059435	II	1	1
YMR006C	AY693181	II	0	1
YMR007W	AY558118	II	1	1
YMR008C	AY692788	II	1	1
YMR009W	AY558584	II	1	1
YMR010W	AY558117	II	1	1
YMR011W	DQ332840	II	1	1
YMR012W	EF058884	II	1	1
YMR013C	AY692829	II	1	1
YMR014W	AY692831	II	1	1
YMR015C	AY723852	II	1	1
YMR016C		III	1	1
YMR017W	AY692885	II	1	1
YMR018W	AY692720	II	1	1
YMR019W		III	1	1
YMR020W	EF059064	II	1	1
YMR021C	AY692934	II	0	1
YMR022W	AY558116	II	1	1
YMR023C	DQ332044	II	1	1
YMR024W	AY693061	II	1	1
YMR025W	DQ332199	II	1	1
YMR026C	AY693066	II	1	1
YMR027W	DQ331081	II	1	1
YMR028W	AY558399	II	0	1
YMR029C	DQ332477	II	1	1
YMR030W	AY557995	II	0	1
YMR031C	DQ331308	II	1	1
YMR032W		III	0	1
YMR030W-A	DQ331433	II	1	1
YMR033W		III	0	0
YMR034C	AY692713	II	0	1
YMR035W	AY692994	II	1	1
YMR036C	EF059121	II	0	1
YMR037C		III	1	1
YMR038C	AY558398	II	0	1
YMR039C		III	1	1
YMR040W	EF058465	II	1	1
YMR041C		III	1	1
YMR042W	AY692845	II	0	1
YMR043W	AY557985	II	1	1
YMR044W	EF058997	II	0	1
YMR047C		III	0	1
YMR048W	AY558400	II	0	1
YMR049C		II	1	1
YMR052W	DQ332065	II	1	1
YMR053C	DQ332075	II	1	1
YMR054W	DQ332099	II	1	1
YMR055C	DQ332112	II	1	1
YMR056C	DQ332250	II	1	1
YMR058W	DQ332295	II	1	1
YMR059W	DQ332329	II	1	1
YMR060C	AY557989	II	1	1
YMR061W	DQ333066	II	1	1
YMR062C	DQ332299	II	1	1
YMR063W	DQ333127	II	1	1
YMR064W	EF059374	II	1	1
YMR065W	DQ333163	II	1	1
YMR066W	EF058438	II	1	1
YMR067C	DQ331199	II	1	1
YMR068W	EF058758	II	0	1
YMR069W	AY557984	II	1	1
YMR070W	AY693209	II	1	1
YMR071C	AY558402	II	1	1
YMR072W	AY557967	II	1	1
YMR073C	AY557971	II	1	1
YMR074C	EF058480	II	1	1
YMR075W	EF058541	II	1	1
YMR076C	EF058938	II	1	1
YMR077C	DQ331737	II	1	1
YMR078C	DQ331838	II	1	1
YMR079W	EF059037	II	1	1
YMR080C	EF059016	II	1	1
YMR081C	AY692919	II	0	1
YMR082C	AY558364	II	1	1
YMR083W	AY692988	II	1	1
YMR084W	AY692572	II	1	1
YMR085W	DQ331058	II	1	1
YMR086W	AY692576	II	1	1
YMR087W	AY558403	II	1	1
YMR088C	EF058349	II	1	1
YMR089C	AY693099	II	1	1
YMR090W	DQ331108	II	1	1
YMR091C	DQ333084	II	0	1
YMR092C	EF059377	II	1	1
YMR093W	DQ332550	II	1	1
YMR094W	DQ332567	II	1	1
YMR095C	AY692745	II	1	1
YMR096W		III	1	1
YMR097C	EF058784	II	1	1
YMR098C	EF058451	II	1	1
YMR099C	DQ331226	II	0	1
YMR100W	DQ331572	II	1	1
YMR101C	DQ331579	II	1	1
YMR102C	EF058508	II	0	1
YMR103C	AY558407	II	1	1
YMR104C	DQ332912	II	1	1
YMR105C	AY723853	II	1	1
YMR105W-A	DQ331429	II	1	1
YMR106C		III	1	1
YMR107W	AY558405	II	0	1
YMR108W	AY692995	II	1	1
YMR109W		III	0	1
YMR110C	DQ331186	II	0	1
YMR111C	EF058434	II	1	1
YMR112C	AY558406	II	0	1
YMR113W	DQ331515	II	1	1
YMR114C	DQ332769	II	1	1
YMR115W	DQ331283	II	1	1
YMR116C	EF058916	II	1	1
YMR117C	DQ331708	II	0	1
YMR118C	AY557968	II	1	1
YMR119W	DQ331840	II	0	1
YMR120C	EF058993	II	1	1
YMR121C	EF059004	II	1	1
YMR122C	AY558411	II	1	1
YMR122W-A	EF058479	II	1	1
YMR123W	AY558408	II	1	1
YMR124W		III	1	1
YMR125W		III	0	1
YMR126C	DQ331044	II	1	1
YMR127C	DQ333012	II	1	1
YMR128W		II	1	1
YMR129W		III	1	1
YMR130W	AY557987	II	1	1
YMR131C		III	0	1
YMR132C	DQ331050	II	1	1
YMR133W		III	0	1
YMR134W	AY558410	II	1	1
YMR135C	DQ332428	II	1	1
YMR136W		III	0	1
YMR137C	EF059370	II	1	1
YMR138W	AY558409	II	1	1
YMR139W	AY557994	II	1	1
YMR140W	DQ332466	II	1	1
YMR141C	AY558412	II	1	1
YMR142C	DQ333162	II	0	1
YMR143W	DQ333167	II	1	1
YMR144W	DQ331240	II	1	1
YMR145C	AY692785	II	1	1
YMR146C	AY558416	II	1	1
YMR147W	AY558417	II	1	1
YMR148W	AY558413	II	1	1
YMR149W	AY558418	II	1	1
YMR150C	AY558415	II	1	1
YMR152W	AY558419	II	1	1
YMR153W	DQ332952	II	1	1
YMR154C		II	1	1
YMR155W	EF058625	II	1	1
YMR156C	AY557979	II	1	1
YMR157C	DQ332815	II	1	1
YMR158W	AY558414	II	1	1
YMR158C-A	DQ331065	II	0	1
YMR159C	DQ332134	II	0	1
YMR160W	AY692574	II	1	1
YMR161W		III	1	1
YMR162C		III	0	0
YMR163C	EF058375	II	1	1
YMR164C	EF059308	II	0	1
YMR165C	DQ332500	II	1	1
YMR166C	AY558121	II	1	1
YMR167W	EF059420	II	1	1
YMR168C	EF058754	II	1	1
YMR169C	DQ332827	II	1	1
YMR170C	DQ332652	II	1	1
YMR171C		III	1	1
YMR172W		III	1	1
YMR173W	DQ331690	II	1	1
YMR174C	AY558120	II	1	1
YMR175W	AY558518	II	1	1
YMR175W-A	DQ331399	II	1	1
YMR176W		III	0	1
YMR177W	AY723854	II	1	1
YMR178W	EF058389	II	1	1
YMR179W	DQ332472	II	0	1
YMR180C	AY693065	II	1	1
YMR181C	AY557965	II	0	1
YMR182C	DQ332393	II	1	1
YMR182W-A	EF058727	II	1	1
YMR183C	DQ333104	II	1	1
YMR184W	AY557970	II	1	1
YMR185W	EF058319	II	1	1
YMR186W	DQ332054	II	1	1
YMR187C	DQ331042	II	1	1
YMR188C	EF059237	II	0	1
YMR189W	DQ332218	II	1	1
YMR190C		III	0	1
YMR191W	DQ331055	II	1	1
YMR192W	DQ331062	II	1	1
YMR193W	AY557982	II	1	1
YMR194W		III	1	1
YMR194C-B	EF058689	II	1	1
YMR195W	AY557963	II	0	1
YMR196W	DQ331173	II	1	1
YMR197C	DQ332588	II	1	1
YMR198W	EF059454	II	1	1
YMR199W	AY723855	II	1	1
YMR200W	DQ331927	II	1	1
YMR201C	DQ331935	II	1	1
YMR202W	AY558122	II	1	1
YMR203W	AY693021	II	1	1
YMR204C	DQ332723	II	1	1
YMR205C	DQ332091	II	1	1
YMR206W	DQ331091	II	1	1
YMR207C	EF059272	II	1	1
YMR208W	DQ333114	II	1	1
YMR209C	AY692616	II	1	1
YMR210W	DQ331128	II	1	1
YMR211W	DQ332433	II	1	1
YMR212C	DQ332439	II	0	1
YMR213W	AY693142	II	1	1
YMR214W	DQ332616	II	1	1
YMR215W	AY693202	II	1	1
YMR216C	DQ332629	II	1	1
YMR217W	DQ331514	II	1	1
YMR218C	DQ331523	II	1	1
YMR219W	DQ331553	II	1	1
YMR220W	DQ331671	II	1	1
YMR221C	DQ331284	II	0	1
YMR222C		III	1	1
YMR223W	EF058936	II	0	1
YMR224C	DQ331721	II	0	1
YMR225C	DQ331828	II	1	1
YMR226C	DQ332802	II	1	1
YMR227C	DQ332664	II	1	1
YMR228W	DQ332665	II	1	1
YMR229C		III	0	0
YMR230W		III	1	1
YMR230W-A	EF058728	II	1	1
YMR231W	DQ331974	II	1	1
YMR232W	DQ332103	II	0	1
YMR233W	AY557975	II	1	1
YMR234W	DQ332149	II	1	1
YMR235C	DQ332280	II	1	1
YMR236W	DQ332340	II	0	1
YMR237W	DQ331115	II	1	1
YMR238W	EF059387	II	1	1
YMR239C	DQ332534	II	1	1
YMR240C	AY723856	II	1	1
YMR241W	EF059399	II	1	1
YMR242C		III	0	0
YMR242W-A	EF058679	II	1	1
YMR243C	AY693213	II	1	1
YMR244W	DQ331280	II	1	1
YMR244C-A	EF058540	II	1	1
YMR246W	DQ332892	II	1	1
YMR247C	EF058657	II	1	1
YMR247W-A	EF058674	II	1	1
YMR250W	DQ332172	II	1	1
YMR251W	AY692580	II	1	1
YMR251W-A	EF059406	II	1	1
YMR252C	AY558123	II	1	1
YMR253C	AY723857	II	1	1
YMR255W	EF059339	II	1	1
YMR256C	AY558129	II	1	1
YMR257C	AY693003	II	1	1
YMR258C	AY692563	II	1	1
YMR259C	DQ331039	II	0	1
YMR260C	AY557964	II	1	1
YMR261C	AY692968	II	1	1
YMR262W	AY692731	II	1	1
YMR263W	AY557972	II	1	1
YMR264W	AY557973	II	1	1
YMR265C	DQ331059	II	1	1
YMR266W		III	0	0
YMR267W	DQ332331	II	1	1
YMR268C	AY723858	II	1	1
YMR269W	DQ331174	II	1	1
YMR270C	AY693104	II	1	1
YMR271C	AY557976	II	1	1
YMR272C	AY693150	II	1	1
YMR272W-B		III	1	1
YMR273C	DQ332512	II	1	1
YMR274C		III	1	1
YMR275C	DQ332648	II	1	1
YMR276W		III	1	1
YMR277W	DQ331561	II	1	1
YMR278W	DQ332774	II	1	1
YMR279C	DQ331262	II	1	1
YMR280C	EF058848	II	1	1
YMR281W	DQ331566	II	1	1
YMR282C	DQ331574	II	1	1
YMR283C	AY692815	II	1	1
YMR284W	AY692863	II	1	1
YMR285C	EF059501	II	1	1
YMR286W	AY558130	II	1	1
YMR287C	EF058969	II	1	1
