orf_name	GenBank_accession	orf_space	in_db_space	in_ad_space
YJL106W	EF059335	II	1	1
YJL105W	EF059326	II	0	1
YJL104W	AY692607	II	1	1
YJL103C	AY723834	II	1	1
YJL102W	EF059204	II	1	1
YJL101C	DQ332006	II	1	1
YJL100W		III	1	1
YJL099W		II	1	1
YJL098W	EF059491	II	0	1
YJL097W	AY557855	II	1	1
YJL096W	AY558305	II	1	1
YJL095W		III	0	1
YJL094C	DQ332438	II	1	1
YJL093C	DQ332293	II	1	1
YJL092W	DQ332279	II	0	1
YJL091C	EF059255	II	1	1
YJL090C		III	0	1
YJL089W	EF059290	II	1	1
YJL088W	EF059276	II	0	1
YJL087C	EF059263	II	1	1
YJL085W	AY723833	II	1	1
YJL084C	DQ332071	II	1	1
YJL083W		III	1	1
YJL082W	DQ331941	II	1	1
YJL081C	EF059071	II	0	1
YJL080C	DQ331827	II	1	1
YJL079C	AY558306	II	1	1
YJL078C	DQ331841	II	1	1
YJL077W-B	EF058733	II	1	1
YJL077W-A		III	1	1
YJL077C	AY692701	II	1	1
YJL076W	DQ331818	II	1	1
YJL074C	EF058914	II	1	1
YJL073W		III	1	0
YJL072C	AY558248	II	1	1
YJL071W		III	0	1
YJL070C	AY692645	II	0	1
YJL069C	AY692560	II	1	1
YJL068C	DQ332716	II	1	1
YJL066C	DQ332968	II	1	1
YJL065C	AY558557	II	1	1
YJL063C	AY558249	II	1	1
YJL062W-A	EF058499	II	1	1
YJL062W		III	0	1
YJL061W	EF058951	II	1	1
YJL060W	DQ332905	II	1	1
YJL059W	AY693139	II	1	1
YJL058C	AY693068	II	0	1
YJL057C	EF058358	II	1	1
YJL056C	DQ332194	II	0	1
YJL055W	AY558247	II	1	1
YJL054W		III	1	1
YJL053W	AY693007	II	1	1
YJL052C-A	EF058498	II	1	1
YJL052W	AY693001	II	0	1
YJL051W	DQ331349	II	1	1
YJL050W	DQ331890	II	1	1
YJL049W	AY692694	II	0	1
YJL048C	AY692689	II	1	1
YJL047C-A	EF058749	II	1	1
YJL047C	EF058978	II	1	1
YJL046W	AY558080	II	1	1
YJL045W	EF058524	II	1	1
YJL044C	DQ331626	II	1	1
YJL043W	AY692664	II	0	1
YJL042W	DQ331471	II	1	1
YJL041W		III	0	1
YJL039C	DQ331525	II	0	1
YJL038C	AY558245	II	1	1
YJL037W	AY558244	II	1	1
YJL036W	AY693177	II	1	1
YJL035C	AY693172	II	0	1
YJL034W	EF059410	II	1	1
YJL033W	AY693118	II	0	1
YJL031C	EF059218	II	0	1
YJL030W	AY558243	II	1	1
YJL029C		II	1	1
YJL029C		II	1	1
YJL028W	DQ333181	II	1	1
YJL027C	AY558246	II	1	1
YJL026W	EF059129	II	1	1
YJL025W	AY692999	II	0	1
YJL024C		III	1	1
YJL023C	DQ331874	II	1	1
YJL020C	DQ331751	II	1	1
YJL019W		III	1	1
YJL016W	AY692698	II	1	1
YJL014W		III	1	1
YJL013C	EF058877	II	0	1
YJL012C	EF058869	II	1	1
YJL012C	EF058497	II	1	1
YJL011C	AY558346	II	1	1
YJL010C	EF058444	II	1	1
YJL008C	DQ331497	II	1	1
YJL007C	AY558242	II	1	1
YJL006C	EF058819	II	1	1
YJL005W		III	0	0
YJL004C	AY558345	II	1	1
YJL003W	AY558241	II	1	1
YJL002C	EF059309	II	1	1
YJL001W		III	0	1
YJR001W	DQ332322	II	1	1
YJR002W	DQ332354	II	1	1
YJR003C	DQ331116	II	0	1
YJR004C	DQ332520	II	1	1
YJR005W		III	1	1
YJR005C-A	DQ331420	II	1	1
YJR006W	DQ331447	II	1	1
YJR007W	AY557876	II	1	1
YJR008W	DQ332761	II	1	1
YJR009C		III	0	1
YJR010W	AY723835	II	1	1
YJR010C-A	AY557861	II	1	1
YJR011C	AY557905	II	1	1
YJR013W	AY557910	II	1	1
YJR012C	AY557900	II	1	1
YJR014W	AY557898	II	1	1
YJR015W	AY723836	II	1	1
YJR016C	DQ332314	II	0	1
YJR017C	DQ332451	II	1	1
YJR019C	DQ332505	II	0	1
YJR021C		III	0	1
YJR022W	EF059133	II	0	1
YJR024C	AY692565	II	1	1
YJR025C	AY558309	II	1	1
YJR030C	DQ331056	II	1	1
YJR031C		III	0	1
YJR032W	AY693103	II	0	1
YJR033C		III	1	1
YJR034W	AY558310	II	1	1
YJR035W		III	1	1
YJR036C	DQ332598	II	1	1
YJR039W		III	1	1
YJR040W	EF059495	II	1	1
YJR041C		III	1	1
YJR042W	EF058786	II	0	1
YJR043C	AY557918	II	1	1
