orf_name_a	gene_name_a	orf_name_b	gene_name_b	Uetz-screen	Ito-core	CCSB-YI1	YeRI
YAR035W	YAT1	YER024W	YAT2	False	False	True	False
YAR035W	YAT1	YJR136C	TTI2	False	False	False	True
YAR066W		YDR074W	TPS2	True	False	False	False
YBL001C	ECM15	YBL001C	ECM15	False	False	True	False
YBL006C	LDB7	YDR489W	SLD5	False	True	False	False
YBL006C	LDB7	YJR011C		False	False	False	True
YBL007C	SLA1	YHR016C	YSC84	True	False	False	False
YBL009W	ALK2	YGL060W	YBP2	False	False	False	True
YBL010C		YHL004W	MRP4	False	False	False	True
YBL010C		YJR011C		False	False	False	True
YBL010C		YKR022C	NTR2	True	True	False	False
YBL010C		YML064C	TEM1	False	False	False	True
YBL014C	RRN6	YJL025W	RRN7	True	False	True	False
YBL016W	FUS3	YDR480W	DIG2	False	True	False	False
YBL016W	FUS3	YPL049C	DIG1	False	True	False	False
YBL020W	RFT1	YDL088C	ASM4	False	False	False	True
YBL020W	RFT1	YDR479C	PEX29	False	False	True	False
YBL020W	RFT1	YIR038C	GTT1	False	False	True	False
YBL021C	HAP3	YGL237C	HAP2	True	True	False	False
YBL021C	HAP3	YOR358W	HAP5	True	True	False	False
YBL023C	MCM2	YDR122W	KIN1	False	False	True	False
YBL023C	MCM2	YDR473C	PRP3	False	False	True	False
YBL023C	MCM2	YLR096W	KIN2	False	False	True	False
YBL023C	MCM2	YLR291C	GCD7	False	False	True	False
YBL023C	MCM2	YMR314W	PRE5	False	False	True	False
YBL023C	MCM2	YPL144W	POC4	False	False	True	False
YBL023C	MCM2	YPR019W	MCM4	False	False	True	False
YBL025W	RRN10	YFR050C	PRE4	False	False	False	True
YBL025W	RRN10	YMR270C	RRN9	True	False	True	True
YBL026W	LSM2	YCR077C	PAT1	False	True	False	False
YBL026W	LSM2	YDR378C	LSM6	False	False	False	True
YBL026W	LSM2	YGR158C	MTR3	False	False	True	True
YBL026W	LSM2	YLR275W	SMD2	False	False	False	True
YBL026W	LSM2	YLR438C-A	LSM3	False	False	True	True
YBL026W	LSM2	YOR159C	SME1	False	False	False	True
YBL026W	LSM2	YPR178W	PRP4	False	False	False	True
YBL031W	SHE1	YDR192C	NUP42	False	False	False	True
YBL031W	SHE1	YPL155C	KIP2	False	False	False	True
YBL033C	RIB1	YBL033C	RIB1	False	False	True	False
YBL033C	RIB1	YPR172W		False	True	False	False
YBL035C	POL12	YNL102W	POL1	False	False	True	False
YBL037W	APL3	YFR043C	IRC6	False	False	True	True
YBL037W	APL3	YJR058C	APS2	False	False	True	False
YBL037W	APL3	YKL103C	APE1	False	False	True	False
YBL039C	URA7	YJR103W	URA8	False	True	False	False
YBL039W-B		YPR128C	ANT1	False	False	False	True
YBL042C	FUI1	YER021W	RPN3	True	False	False	False
YBL043W	ECM13	YDR099W	BMH2	True	False	False	False
YBL043W	ECM13	YJR046W	TAH11	False	False	False	True
YBL043W	ECM13	YLR117C	CLF1	False	False	False	True
YBL043W	ECM13	YLR435W	TSR2	False	False	False	True
YBL043W	ECM13	YOR115C	TRS33	False	False	False	True
YBL043W	ECM13	YOR304C-A	BIL1	False	False	False	True
YBL045C	COR1	YPR191W	QCR2	False	True	False	False
YBL046W	PSY4	YNL201C	PSY2	False	True	False	False
YBL047C	EDE1	YCR030C	SYP1	False	False	True	False
YBL047C	EDE1	YGR241C	YAP1802	False	False	True	False
YBL049W	MOH1	YOR275C	RIM20	False	False	False	True
YBL051C	PIN4	YIL151C	ESL1	True	False	False	False
YBL051C	PIN4	YKR096W	ESL2	True	False	False	False
YBL056W	PTC3	YDR071C	PAA1	False	True	False	False
YBL056W	PTC3	YML088W	UFO1	False	False	False	True
YBL057C	PTH2	YMR276W	DSK2	False	False	True	True
YBL057C	PTH2	YPR174C		False	False	False	True
YBL058W	SHP1	YDL190C	UFD2	False	False	True	False
YBL058W	SHP1	YFL044C	OTU1	False	False	True	False
YBL058W	SHP1	YLR291C	GCD7	False	False	True	False
YBL058W	SHP1	YNL155W	CUZ1	False	False	True	False
YBL060W	YEL1	YOR094W	ARF3	False	False	True	False
YBL066C	SEF1	YPR040W	TIP41	False	False	False	True
YBL068W	PRS4	YKL181W	PRS1	False	False	False	True
YBL068W	PRS4	YOL061W	PRS5	False	True	False	False
YBL069W	AST1	YDR100W	TVP15	False	False	True	False
YBL078C	ATG8	YBR217W	ATG12	False	False	False	True
YBL078C	ATG8	YHR171W	ATG7	True	False	True	False
YBL078C	ATG8	YNL223W	ATG4	False	False	True	True
YBL078C	ATG8	YNR007C	ATG3	False	True	True	False
YBL078C	ATG8	YOL083W	ATG34	False	False	True	False
YBL081W		YBR165W	UBS1	False	False	False	True
YBL081W		YDL167C	NRP1	False	True	False	False
YBL081W		YDR142C	PEX7	False	False	False	True
YBL081W		YGL181W	GTS1	False	False	False	True
YBL081W		YLR291C	GCD7	False	False	False	True
YBL081W		YML064C	TEM1	False	False	False	True
YBL081W		YPL174C	NIP100	False	False	False	True
YBL082C	ALG3	YCR094W	CDC50	False	False	False	True
YBL090W	MRP21	YLR288C	MEC3	False	False	False	True
YBL090W	MRP21	YML088W	UFO1	False	False	False	True
YBL091C	MAP2	YGR142W	BTN2	False	False	True	False
YBL091C-A	SCS22	YDR479C	PEX29	False	False	True	False
YBL091C-A	SCS22	YIR038C	GTT1	False	False	True	False
YBL091C-A	SCS22	YML029W	USA1	False	False	True	False
YBL091C-A	SCS22	YPL094C	SEC62	False	False	True	False
YBL093C	ROX3	YML051W	GAL80	False	False	True	False
YBL097W	BRN1	YDR439W	LRS4	False	False	False	True
YBL098W	BNA4	YML130C	ERO1	False	False	False	True
YBL098W	BNA4	YNL100W	MIC27	False	False	False	True
YBL101C	ECM21	YNL225C	CNM67	False	False	True	False
YBL102W	SFT2	YGR068C	ART5	True	False	False	False
YBL102W	SFT2	YLR453C	RIF2	False	True	False	False
YBL102W	SFT2	YOR036W	PEP12	False	True	False	False
YBL105C	PKC1	YML109W	ZDS2	True	False	False	False
YBL107C	MIX23	YLR433C	CNA1	False	False	False	True
YBR002C	RER2	YKR021W	ALY1	False	False	False	True
YBR002C	RER2	YML064C	TEM1	False	False	False	True
YBR006W	UGA2	YBR006W	UGA2	False	False	True	False
YBR006W	UGA2	YDR382W	RPP2B	True	False	False	False
YBR006W	UGA2	YKL023W		True	False	False	False
YBR007C	DSF2	YOR368W	RAD17	False	False	False	True
YBR019C	GAL10	YBR019C	GAL10	False	False	True	False
YBR026C	ETR1	YDL043C	PRP11	False	False	False	True
YBR029C	CDS1	YIR033W	MGA2	False	False	True	False
YBR029C	CDS1	YIR038C	GTT1	False	False	True	False
YBR030W	RKM3	YGL129C	RSM23	False	False	False	True
YBR030W	RKM3	YLR244C	MAP1	False	False	True	False
YBR034C	HMT1	YGR165W	MRPS35	False	True	False	False
YBR034C	HMT1	YIL061C	SNP1	False	True	False	False
YBR036C	CSG2	YNL125C	ESBP6	False	False	False	True
YBR036C	CSG2	YPR159W	KRE6	False	False	False	True
YBR038W	CHS2	YPR106W	ISR1	False	True	False	False
YBR040W	FIG1	YCL040W	GLK1	True	False	False	False
YBR041W	FAT1	YDL153C	SAS10	False	True	False	False
YBR042C	CST26	YER081W	SER3	False	True	False	False
YBR045C	GIP1	YLR288C	MEC3	False	False	False	True
YBR046C	ZTA1	YMR213W	CEF1	False	False	False	True
YBR047W	FMP23	YPL077C		False	False	False	True
YBR052C	RFS1	YDR032C	PST2	True	False	True	False
YBR052C	RFS1	YIL103W	DPH1	False	False	False	True
YBR054W	YRO2	YML088W	UFO1	False	False	False	True
YBR055C	PRP6	YLR446W		False	True	False	False
YBR055C	PRP6	YPR082C	DIB1	True	False	True	False
YBR056W		YFR007W	YFH7	False	True	False	False
YBR056W-A		YJR128W		False	False	False	True
YBR057C	MUM2	YCL055W	KAR4	True	False	False	False
YBR057C	MUM2	YDR206W	EBS1	True	False	False	False
YBR057C	MUM2	YER018C	SPC25	False	False	True	False
YBR057C	MUM2	YGL036W		False	False	True	False
YBR057C	MUM2	YGL192W	IME4	True	False	False	False
YBR057C	MUM2	YHL004W	MRP4	False	False	True	False
YBR057C	MUM2	YJL025W	RRN7	False	False	True	False
YBR057C	MUM2	YJL058C	BIT61	False	False	True	False
YBR057C	MUM2	YJL085W	EXO70	False	False	True	False
YBR057C	MUM2	YPL135W	ISU1	False	False	True	False
YBR058C-A	TSC3	YDR062W	LCB2	False	False	False	True
YBR058C-A	TSC3	YGR038W	ORM1	False	False	False	True
YBR058C-A	TSC3	YLR350W	ORM2	False	False	False	True
YBR059C	AKL1	YBR059C	AKL1	False	True	False	False
YBR059C	AKL1	YER144C	UBP5	True	False	False	False
YBR059C	AKL1	YGL213C	SKI8	False	True	False	False
YBR059C	AKL1	YML014W	TRM9	False	True	False	False
YBR060C	ORC2	YDL111C	RRP42	False	False	False	True
YBR060C	ORC2	YEL056W	HAT2	False	False	False	True
YBR060C	ORC2	YLL004W	ORC3	False	False	False	True
YBR060C	ORC2	YLR368W	MDM30	False	False	False	True
YBR060C	ORC2	YPR120C	CLB5	False	False	False	True
YBR061C	TRM7	YMR055C	BUB2	False	False	False	True
YBR068C	BAP2	YEL001C	IRC22	False	False	False	True
YBR068C	BAP2	YPR170W-B		False	False	False	True
YBR072C-A		YIR016W		False	False	False	True
YBR072W	HSP26	YBR072W	HSP26	False	False	True	False
YBR072W	HSP26	YBR261C	TAE1	False	False	True	False
YBR072W	HSP26	YDL239C	ADY3	False	True	False	False
YBR072W	HSP26	YML064C	TEM1	False	True	False	False
YBR072W	HSP26	YNL189W	SRP1	False	True	False	False
YBR077C	SLM4	YGR201C		False	False	True	True
YBR077C	SLM4	YKR007W	MEH1	True	True	False	True
YBR077C	SLM4	YMR004W	MVP1	True	False	False	False
YBR080C	SEC18	YBR080C	SEC18	False	False	True	False
YBR080C	SEC18	YBR261C	TAE1	False	False	True	False
YBR080C	SEC18	YIL046W	MET30	False	False	True	False
YBR080C	SEC18	YJL030W	MAD2	False	False	True	False
YBR080C	SEC18	YLR291C	GCD7	False	False	True	False
YBR080C	SEC18	YNL189W	SRP1	False	False	True	False
YBR080C	SEC18	YNL288W	CAF40	False	False	True	False
YBR080C	SEC18	YPL070W	MUK1	False	False	True	False
YBR082C	UBC4	YER068W	MOT2	False	False	False	True
YBR083W	TEC1	YDL013W	SLX5	False	False	False	True
YBR083W	TEC1	YGR048W	UFD1	False	False	False	True
YBR087W	RFC5	YDR229W	IVY1	False	False	True	False
YBR087W	RFC5	YJR068W	RFC2	False	False	True	True
YBR088C	POL30	YDR510W	SMT3	False	False	True	False
YBR088C	POL30	YER131W	RPS26B	False	False	False	True
YBR088C	POL30	YJR043C	POL32	False	False	False	True
YBR088C	POL30	YMR137C	PSO2	False	False	False	True
YBR094W	PBY1	YLR264W	RPS28B	True	False	False	False
YBR094W	PBY1	YOL149W	DCP1	False	True	True	False
YBR101C	FES1	YDR311W	TFB1	False	False	False	True
YBR102C	EXO84	YLR423C	ATG17	False	False	True	False
YBR103W	SIF2	YBR122C	MRPL36	False	False	False	True
YBR103W	SIF2	YBR282W	MRPL27	False	False	False	True
YBR103W	SIF2	YGR262C	BUD32	False	False	True	False
YBR103W	SIF2	YHL004W	MRP4	False	False	True	False
YBR103W	SIF2	YIL112W	HOS4	True	False	False	False
YBR103W	SIF2	YJL122W	ALB1	False	False	False	True
YBR103W	SIF2	YJR141W	IPA1	False	True	False	True
YBR103W	SIF2	YLR407W		False	False	False	True
YBR103W	SIF2	YMR061W	RNA14	False	False	True	False
YBR103W	SIF2	YPL173W	MRPL40	False	False	True	False
YBR107C	IML3	YDR254W	CHL4	False	False	False	True
YBR107C	IML3	YDR421W	ARO80	False	False	True	False
YBR107C	IML3	YDR489W	SLD5	False	False	True	False
YBR107C	IML3	YGL071W	AFT1	False	False	True	False
YBR107C	IML3	YHR113W	APE4	False	False	True	False
YBR108W	AIM3	YCR009C	RVS161	True	False	True	False
YBR108W	AIM3	YDR388W	RVS167	False	True	False	False
YBR108W	AIM3	YGR136W	LSB1	False	True	False	False
YBR109C	CMD1	YCL063W	VAC17	False	False	False	True
YBR109C	CMD1	YGL106W	MLC1	False	False	True	True
YBR111C	YSA1	YLR245C	CDD1	False	False	True	False
YBR111C	YSA1	YOR368W	RAD17	False	False	False	True
YBR111C	YSA1	YPL070W	MUK1	False	False	True	False
YBR111W-A	SUS1	YML051W	GAL80	False	False	False	True
YBR114W	RAD16	YJL036W	SNX4	False	False	False	True
YBR114W	RAD16	YML095C	RAD10	False	False	False	True
YBR114W	RAD16	YPR083W	MDM36	False	False	False	True
YBR122C	MRPL36	YGL115W	SNF4	False	False	False	True
YBR122C	MRPL36	YGR211W	ZPR1	False	False	True	False
YBR123C	TFC1	YKL078W	DHR2	False	False	False	True
YBR123C	TFC1	YLR423C	ATG17	False	False	True	False
YBR123C	TFC1	YPL225W		False	False	False	True
YBR125C	PTC4	YCL033C	MXR2	False	False	False	True
YBR125C	PTC4	YDR071C	PAA1	True	False	False	True
YBR126C	TPS1	YBR126C	TPS1	False	False	True	False
YBR126C	TPS1	YML100W	TSL1	False	False	True	False
YBR126C	TPS1	YMR261C	TPS3	False	False	True	False
YBR126C	TPS1	YPL152W	RRD2	False	False	False	True
YBR126W-A	MEO1	YIR038C	GTT1	False	False	True	False
YBR126W-A	MEO1	YPR174C		False	False	False	True
YBR127C	VMA2	YGR117C		False	False	False	True
YBR128C	ATG14	YPL120W	VPS30	False	False	False	True
YBR130C	SHE3	YBR130C	SHE3	False	True	False	False
YBR130C	SHE3	YHR107C	CDC12	False	False	False	True
YBR131W	CCZ1	YGL124C	MON1	False	False	True	False
YBR131W	CCZ1	YKR036C	CAF4	False	False	False	True
YBR131W	CCZ1	YOR034C	AKR2	False	False	False	True
YBR133C	HSL7	YDL154W	MSH5	True	False	False	False
YBR133C	HSL7	YGL187C	COX4	False	False	True	False
YBR135W	CKS1	YBR160W	CDC28	False	True	False	False
YBR135W	CKS1	YBR252W	DUT1	False	True	False	False
YBR135W	CKS1	YDL155W	CLB3	True	False	False	False
YBR135W	CKS1	YER102W	RPS8B	True	False	False	False
YBR135W	CKS1	YGR108W	CLB1	True	True	False	False
YBR135W	CKS1	YPR119W	CLB2	True	False	False	False
YBR137W		YBR137W		False	True	False	False
YBR137W		YML064C	TEM1	False	True	False	False
YBR137W		YMR047C	NUP116	False	True	False	False
YBR137W		YNL189W	SRP1	False	True	False	False
YBR141C	BMT2	YDR372C	VPS74	True	False	False	False
YBR141C	BMT2	YGL091C	NBP35	True	False	False	False
YBR141C	BMT2	YLR061W	RPL22A	False	False	False	True
YBR146W	MRPS9	YGR158C	MTR3	False	False	False	True
